Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.21452	13.2842	-0.0914261	0.466062	23.498	156.608
0.97676	31.0896	0.0314175	1.50736	23.5	157.565
1.26861	50.7379	0.0250032	2.4904	23.5	159.946
1.5809	71.7056	0.0220471	3.53898	23.501	161.687
1.87686	91.3621	0.0205431	4.52202	23.498	158.962
2.17173	111.023	0.0195612	5.50506	23.504	159.766
2.46297	130.681	0.0188472	6.4881	23.503	157.476
2.75575	150.34	0.0183301	7.47114	23.498	156.351
3.07139	171.305	0.0179294	8.51971	23.5	154.135
3.36288	190.97	0.0176095	9.50275	23.498	154.655
3.65754	210.621	0.0173655	10.4858	23.499	152.976
3.97117	231.595	0.017147	11.5344	23.501	155.443
4.26283	251.243	0.016967	12.5174	23.505	156.096
4.55733	270.91	0.0168223	13.5004	23.505	157.182
4.85136	290.567	0.0166962	14.4835	23.507	160.989
5.14504	310.225	0.0165849	15.4665	23.504	159.738
5.45746	331.193	0.0164782	16.5151	23.499	159.313
5.75018	350.85	0.0163893	17.4981	23.497	157.395
6.04218	370.497	0.0163083	18.4812	23.497	153.845
6.35448	391.475	0.0162321	19.5298	23.497	149.753
6.64702	411.132	0.0161676	20.5128	23.494	147.9
6.93832	430.791	0.016106	21.4958	23.496	148.194
7.23034	450.448	0.0160515	22.4789	23.498	148.144
7.5228	470.105	0.0160024	23.4619	23.498	150.262
7.83263	491.058	0.0159505	24.5105	23.505	155.643
8.12399	510.73	0.0159066	25.4935	23.506	154.065
8.41645	530.388	0.0158685	26.4766	23.503	156.249
8.72558	551.357	0.0158257	27.5252	23.492	157.542
9.01652	571.014	0.0157904	28.5082	23.499	157.619
9.30637	590.671	0.0157556	29.4912	23.498	153.55
9.61451	611.64	0.0157192	30.5398	23.496	151.34
9.90409	631.297	0.0156885	31.5228	23.503	143.532
10.1928	650.955	0.0156582	32.5059	23.503	145.127
10.4815	670.612	0.0156298	33.4889	23.5	139.339
10.7689	690.269	0.015601	34.472	23.497	141.018
11.073	711.218	0.0155691	35.5205	23.499	144.503
11.3646	730.891	0.0155489	36.5036	23.499	148.809
11.6489	750.552	0.0155205	37.4866	23.503	152.79
11.9522	771.521	0.0154917	38.5352	23.495	155.245
12.2388	791.178	0.0154691	39.5182	23.501	154.247
12.5234	810.836	0.0154451	40.5013	23.503	151.787
12.8079	830.493	0.0154221	41.4843	23.503	145.694
13.0918	850.151	0.0153993	42.4674	23.505	141.551
13.3961	871.119	0.0153781	43.5159	23.504	136.749
13.6798	890.777	0.0153572	44.499	23.489	135.128
13.9628	910.434	0.0153364	45.482	23.502	135.755
14.2663	931.401	0.015317	46.5306	23.506	131.289
14.55	951.059	0.0152987	47.5136	23.497	135.687
14.8335	970.717	0.015281	48.4967	23.496	136.665
15.115	990.375	0.0152619	49.4797	23.497	142.914
15.3961	1010.03	0.0152432	50.4628	23.5	142.867
15.6986	1031	0.0152265	51.5113	23.504	144.061
15.982	1050.66	0.0152115	52.4944	23.505	138.555
16.2763	1070.29	0.0152074	53.4774	23.504	138.679
16.5628	1091.28	0.0151774	54.526	23.491	132.798
16.8531	1110.94	0.0151701	55.509	23.494	128.083
17.1338	1130.6	0.0151547	56.4921	23.5	121.402
17.4362	1151.57	0.0151413	57.5406	23.501	125.119
17.7185	1171.22	0.0151282	58.5237	23.501	123.741
18.0015	1190.88	0.0151161	59.5067	23.503	127.051
18.2836	1210.54	0.0151037	60.4898	23.506	130.95
18.5655	1230.2	0.0150915	61.4728	23.494	134.416
18.8649	1251.16	0.0150779	62.5214	23.5	134.936
19.1465	1270.82	0.0150662	63.5044	23.499	133.407
19.4276	1290.48	0.0150545	64.4875	23.505	130.226
