Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.17006	13.169	-0.0888496	0.466062	23.501	90.4256
0.885468	31.0911	0.0284798	1.50736	23.501	93.1048
1.12262	50.7421	0.0221241	2.4904	23.498	94.3067
1.37616	71.7091	0.0191909	3.53898	23.496	92.7866
1.61501	91.3649	0.0176765	4.52202	23.5	94.4119
1.85132	111.026	0.0166746	5.50506	23.493	89.6614
2.08583	130.684	0.0159608	6.4881	23.498	90.3242
2.32419	150.341	0.0154595	7.47114	23.504	90.5729
2.5765	171.312	0.0150398	8.51971	23.5	86.9696
2.81249	190.967	0.0147276	9.50275	23.498	89.9486
3.04826	210.631	0.014472	10.4858	23.498	92.0884
3.30033	231.592	0.0142506	11.5344	23.499	91.5238
3.53966	251.255	0.0140879	12.5174	23.499	96.4076
3.7743	270.914	0.0139317	13.5004	23.503	98.5824
4.0112	290.56	0.013805	14.4835	23.496	99.6835
4.2467	310.229	0.0136889	15.4665	23.501	100.737
4.49927	331.196	0.0135849	16.5151	23.498	96.1577
4.73415	350.843	0.0134937	17.4981	23.498	94.1265
4.97199	370.509	0.0134193	18.4812	23.502	93.2154
5.22268	391.479	0.0133409	19.5298	23.504	89.5051
5.4581	411.136	0.0132757	20.5128	23.5	87.1628
5.69268	430.794	0.0132144	21.4958	23.5	89.1249
5.92892	450.451	0.0131622	22.4789	23.501	88.7448
6.1654	470.094	0.0131152	23.4619	23.499	93.4089
6.41644	491.076	0.0130661	24.5105	23.498	95.7949
6.65077	510.734	0.013022	25.4935	23.496	96.0459
6.88533	530.392	0.0129816	26.4766	23.499	98.2933
7.1357	551.359	0.012942	27.5252	23.502	98.3745
7.37065	571.017	0.0129079	28.5082	23.504	94.3416
7.604	590.675	0.0128734	29.4912	23.497	91.8926
7.85477	611.643	0.0128421	30.5398	23.496	87.286
8.08836	631.3	0.0128122	31.5228	23.502	83.3777
8.32107	650.958	0.0127828	32.5059	23.501	80.1287
8.55649	670.615	0.0127592	33.4889	23.502	82.4167
8.78902	690.252	0.0127331	34.472	23.496	83.7305
9.03296	711.24	0.0127003	35.5205	23.503	87.2519
9.26856	730.899	0.0126811	36.5036	23.5	92.1325
9.50088	750.556	0.0126585	37.4866	23.496	92.0626
9.74777	771.524	0.0126344	38.5352	23.496	93.7975
9.97701	791.181	0.0126103	39.5182	23.498	92.0493
10.21	810.839	0.0125919	40.5013	23.502	86.6872
10.4458	830.496	0.0125778	41.4843	23.504	84.605
10.6742	850.154	0.0125556	42.4674	23.502	80.8854
10.9189	871.122	0.0125343	43.5159	23.502	73.7941
11.1501	890.779	0.0125172	44.499	23.496	71.9715
11.3809	910.437	0.0125004	45.482	23.501	71.3831
11.6292	931.405	0.0124857	46.5306	23.497	76.1809
11.8613	951.062	0.0124716	47.5136	23.496	75.9014
12.0911	970.721	0.0124558	48.4967	23.501	84.1373
12.3226	990.377	0.0124424	49.4797	23.5	85.3709
12.5544	1010.03	0.0124297	50.4628	23.507	87.8522
12.8002	1031	0.0124152	51.5113	23.502	86.3571
13.0314	1050.66	0.0124031	52.4944	23.502	82.2034
13.2615	1070.32	0.0123903	53.4774	23.503	73.5399
13.5183	1091.26	0.0123877	54.526	23.501	70.4435
13.7249	1110.93	0.0123544	55.509	23.5	63.5125
13.9628	1130.6	0.0123499	56.4921	23.5	61.5157
14.2101	1151.57	0.0123398	57.5406	23.502	62.5433
14.4413	1171.23	0.01233	58.5237	23.499	61.8603
14.6715	1190.88	0.0123199	59.5067	23.498	66.6915
14.9031	1210.54	0.0123111	60.4898	23.501	75.3168
15.1345	1230.2	0.0123025	61.4728	23.501	74.8429
15.3793	1251.17	0.0122919	62.5214	23.493	78.6147
15.6083	1270.82	0.012282	63.5044	23.501	74.2795
15.8362	1290.48	0.0122715	64.4875	23.499	68.9872
16.0803	1311.45	0.0122615	65.536	23.503	62.4583
16.3125	1331.11	0.0122549	66.5191	23.501	56.7179
16.5412	1350.77	0.0122458	67.5021	23.503	50.809
16.7725	1370.42	0.0122389	68.4852	23.501	54.207
17.0018	1390.08	0.0122308	69.4682	23.501	50.1465
17.2453	1411.05	0.0122216	70.5168	23.501	49.8035
17.4743	1430.71	0.0122138	71.4998	23.505	60.2375
17.7041	1450.36	0.0122067	72.4828	23.499	62.714
17.9471	1471.33	0.0121979	73.5314	23.492	64.9437
18.1778	1490.99	0.0121918	74.5145	23.492	62.4674
18.4067	1510.65	0.0121847	75.4975	23.496	64.4815
18.6358	1530.3	0.0121778	76.4805	23.501	60.398
18.8658	1549.96	0.0121718	77.4636	23.501	45.2872
19.1096	1570.93	0.0121645	78.5122	23.496	36.1681
19.3365	1590.59	0.0121568	79.4952	23.497	37.8206
19.5649	1610.25	0.0121502	80.4782	23.503	31.3126
19.8086	1631.21	0.0121435	81.5268	23.504	36.7866
20.0369	1650.87	0.0121372	82.5099	23.5	39.4052
20.2646	1670.53	0.0121307	83.4929	23.5	38.6202
20.494	1690.18	0.0121253	84.4759	23.496	52.0838
20.72	1709.84	0.0121181	85.459	23.504	49.9947
20.9635	1730.81	0.012112	86.5076	23.502	49.6441
21.1897	1750.47	0.0121052	87.4906	23.5	43.3403
21.4152	1770.13	0.0120981	88.4736	23.494	41.1375
21.6642	1791.09	0.0120955	89.5222	23.502	27.2297
21.8942	1810.75	0.0120912	90.5052	23.503	23.4959
22.1239	1830.41	0.0120869	91.4883	23.498	17.0823
22.3679	1851.38	0.0120818	92.5369	23.497	13.0495
22.5949	1871.03	0.0120762	93.5199	23.502	11.7002
22.8179	1890.69	0.0120685	94.5029	23.509	23.4374
23.0441	1910.35	0.0120628	95.486	23.498	28.1343
23.2709	1930.01	0.0120574	96.469	23.501	26.3243
