Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-0.971409	12.9218	-0.0751762	0.466062	23.499	124.546
0.962729	31.0875	0.0309684	1.50736	23.501	123.392
1.24569	50.7406	0.0245502	2.4904	23.5	123.126
1.54901	71.7058	0.0216024	3.53898	23.499	120.43
1.83501	91.364	0.0200846	4.52202	23.495	119.905
2.1194	111.023	0.0190897	5.50506	23.504	120.381
2.40283	130.68	0.0183871	6.4881	23.502	121.368
2.68681	150.339	0.0178717	7.47114	23.5	121.617
2.99208	171.307	0.0174662	8.51971	23.499	125.057
3.27482	190.971	0.0171483	9.50275	23.5	124.793
3.56005	210.622	0.0169026	10.4858	23.504	128.286
3.86372	231.595	0.0166831	11.5344	23.499	127.401
4.14777	251.254	0.0165083	12.5174	23.499	130.165
4.43136	270.902	0.0163578	13.5004	23.499	125.982
4.71713	290.567	0.0162342	14.4835	23.502	123.515
5.00054	310.225	0.016119	15.4665	23.501	122.296
5.30351	331.193	0.0160133	16.5151	23.497	119.01
5.58584	350.839	0.0159214	17.4981	23.501	115.741
5.86895	370.507	0.0158403	18.4812	23.502	118.505
6.17068	391.476	0.0157626	19.5298	23.499	118.919
6.45344	411.134	0.0156967	20.5128	23.499	119.674
6.73421	430.792	0.0156322	21.4958	23.504	122.893
7.01644	450.432	0.0155771	22.4789	23.503	125.708
7.29782	470.106	0.0155238	23.4619	23.501	127.37
7.59722	491.074	0.0154706	24.5105	23.502	126.749
7.87737	510.731	0.0154237	25.4935	23.494	124.712
8.15813	530.389	0.0153814	26.4766	23.502	120.627
8.45547	551.357	0.0153358	27.5252	23.504	117.315
8.73512	571.014	0.0152975	28.5082	23.509	113.608
9.01419	590.672	0.0152609	29.4912	23.496	111.073
9.30905	611.621	0.0152203	30.5398	23.498	111.586
9.58749	631.297	0.015187	31.5228	23.505	113.615
9.86551	650.955	0.0151554	32.5059	23.5	115.25
10.1411	670.612	0.0151221	33.4889	23.499	120.821
10.4162	690.27	0.01509	34.472	23.498	123.669
10.7093	711.238	0.0150573	35.5205	23.495	122.421
10.9829	730.896	0.0150266	36.5036	23.495	123.614
11.2589	750.554	0.0150007	37.4866	23.495	119.052
11.5488	771.521	0.0149689	38.5352	23.504	113.209
11.8237	791.179	0.0149445	39.5182	23.504	112.692
12.0973	810.837	0.0149195	40.5013	23.502	105.769
12.3703	830.494	0.0148951	41.4843	23.5	102.432
12.6429	850.152	0.0148714	42.4674	23.491	103.472
12.9329	871.091	0.0148468	43.5159	23.497	105.432
