Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.02401	13.0113	-0.078702	0.466062	23.5	157.835
0.959896	31.0917	0.030873	1.50736	23.502	157.177
1.24456	50.7391	0.0245285	2.4904	23.504	157.885
1.54999	71.7044	0.0216164	3.53898	23.499	160.05
1.83412	91.3644	0.0200747	4.52202	23.502	161.182
2.11488	111.023	0.019049	5.50506	23.499	160.119
2.40017	130.681	0.0183666	6.4881	23.496	161.578
2.68587	150.337	0.0178656	7.47114	23.501	158.073
2.98594	171.308	0.0174302	8.51971	23.498	157.32
3.27331	190.971	0.0171404	9.50275	23.496	156.073
3.55392	210.621	0.0168735	10.4858	23.495	152.843
3.85822	231.596	0.0166593	11.5344	23.493	155.011
4.14215	251.254	0.0164859	12.5174	23.499	154.348
4.42509	270.901	0.0163347	13.5004	23.511	154.088
4.71008	290.568	0.0162099	14.4835	23.498	157.83
4.99399	310.226	0.0160979	15.4665	23.498	160.572
5.29412	331.188	0.0159852	16.5151	23.506	161.087
5.5822	350.844	0.0159108	17.4981	23.5	159.216
5.86096	370.508	0.0158187	18.4812	23.497	161.162
6.16164	391.476	0.0157395	19.5298	23.502	157.708
6.44233	411.134	0.0156697	20.5128	23.499	153.772
6.7227	430.778	0.0156059	21.4958	23.502	150.157
7.00377	450.448	0.0155485	22.4789	23.502	148.868
7.2816	470.106	0.0154893	23.4619	23.502	148.239
7.58007	491.074	0.0154357	24.5105	23.504	149.054
7.86074	510.731	0.0153911	25.4935	23.505	150.439
8.1379	530.39	0.0153433	26.4766	23.505	154.266
8.43533	551.358	0.0152992	27.5252	23.492	156.235
8.71216	571.015	0.0152573	28.5082	23.491	160.797
8.98721	590.654	0.0152157	29.4912	23.498	158.924
9.27988	611.64	0.0151721	30.5398	23.503	156.445
9.55447	631.297	0.0151347	31.5228	23.502	154.479
9.82758	650.956	0.0150972	32.5059	23.501	147.52
10.1001	670.613	0.015061	33.4889	23.503	142.499
10.3714	690.271	0.0150251	34.472	23.502	140.433
10.66	711.239	0.0149879	35.5205	23.503	139.837
10.9301	730.896	0.0149543	36.5036	23.504	141.203
11.1995	750.554	0.0149217	37.4866	23.498	146.034
11.4864	771.522	0.0148879	38.5352	23.505	144.609
11.761	791.166	0.0148654	39.5182	23.504	148.56
12.0191	810.823	0.0148233	40.5013	23.496	153.653
12.29	830.495	0.0147985	41.4843	23.5	152.215
12.5563	850.151	0.0147695	42.4674	23.499	148.757
12.841	871.121	0.0147408	43.5159	23.504	144.875
13.1074	890.777	0.0147146	44.499	23.499	140.035
13.3723	910.435	0.0146878	45.482	23.498	133.41
13.6549	931.402	0.0146606	46.5306	23.492	131.994
13.9198	951.062	0.0146361	47.5136	23.5	132.21
14.1872	970.718	0.0146152	48.4967	23.504	130.645
14.4536	990.375	0.014594	49.4797	23.502	136.536
14.7179	1010.03	0.0145717	50.4628	23.499	135.199
15.0005	1031	0.0145494	51.5113	23.497	138.594
15.2654	1050.66	0.0145294	52.4944	23.498	143.752
15.5331	1070.32	0.0145127	53.4774	23.495	144.352
15.8156	1091.28	0.0144927	54.526	23.498	138.386
16.082	1110.94	0.014476	55.509	23.498	134.829
16.3472	1130.6	0.0144589	56.4921	23.501	130.28
16.6279	1151.57	0.0144394	57.5406	23.506	125.438
16.8939	1171.22	0.0144241	58.5237	23.504	118.463
17.1594	1190.88	0.014409	59.5067	23.499	119.816
17.4231	1210.54	0.0143928	60.4898	23.495	117.593
17.6882	1230.2	0.0143783	61.4728	23.496	127.412
17.9721	1251.16	0.0143643	62.5214	23.5	128.699
18.2372	1270.82	0.0143507	63.5044	23.503	130.616
18.5021	1290.48	0.0143374	64.4875	23.499	133.026
18.7819	1311.45	0.0143215	65.536	23.501	128.763
19.0478	1331.11	0.0143097	66.5191	23.502	131.197
19.311	1350.76	0.0142964	67.5021	23.497	126.821
19.5753	1370.42	0.0142841	68.4852	23.504	116.151
19.8434	1390.08	0.014275	69.4682	23.505	116.222
20.125	1411.05	0.0142624	70.5168	23.499	107.885
20.3891	1430.71	0.0142511	71.4998	23.5	104.651
20.6524	1450.36	0.0142395	72.4828	23.496	108.107
20.9333	1471.33	0.0142275	73.5314	23.496	112.515
21.1958	1490.99	0.014216	74.5145	23.496	114.621
21.4602	1510.65	0.014206	75.4975	23.499	119.21
21.7277	1530.3	0.0141983	76.4805	23.504	122.699
21.9928	1549.96	0.0141893	77.4636	23.501	116.505
22.276	1570.93	0.0141802	78.5122	23.496	113.175
22.5365	1590.59	0.0141687	79.4952	23.5	109.813
22.7986	1610.24	0.0141585	80.4782	23.507	104.955
23.0771	1631.21	0.0141472	81.5268	23.503	93.5652
23.3405	1650.87	0.0141383	82.5099	23.502	91.5887
23.5977	1670.48	0.0141263	83.4929	23.499	91.9935
23.8732	1690.18	0.0141247	84.4759	23.497	91.9157
24.1325	1709.84	0.0141139	85.459	23.506	91.0608
24.4105	1730.81	0.0141035	86.5076	23.494	96.1554
24.6719	1750.47	0.0140945	87.4906	23.507	100.442
24.934	1770.12	0.014086	88.4736	23.503	108.007
25.2102	1791.09	0.0140753	89.5222	23.501	103.812
25.4705	1810.75	0.0140663	90.5052	23.495	91.6702
25.7268	1830.41	0.0140552	91.4883	23.496	81.2094
25.9996	1851.38	0.0140434	92.5369	23.49	78.2474
26.262	1871.03	0.0140361	93.5199	23.497	85.4827
26.5275	1890.69	0.0140306	94.5029	23.503	74.2009
26.7954	1910.35	0.0140265	95.486	23.505	77.571
27.0577	1930.01	0.0140195	96.469	23.503	72.6307
27.3348	1950.97	0.0140109	97.5176	23.497	75.5669
27.5957	1970.63	0.0140035	98.5006	23.495	78.4496
27.8527	1990.29	0.0139943	99.4837	23.51	91.265
28.1272	2011.26	0.0139849	100.532	23.498	82.6984
28.3839	2030.91	0.0139759	101.515	23.499	89.103
28.6412	2050.57	0.0139674	102.498	23.502	79.7136
28.8985	2070.23	0.0139591	103.481	23.504	78.6916
29.1592	2089.89	0.0139525	104.464	23.501	63.2931
29.434	2110.85	0.0139441	105.513	23.496	62.1304
29.6943	2130.51	0.0139376	106.496	23.497	51.2919
29.9487	2150.17	0.0139285	107.479	23.501	57.7492
30.2227	2171.14	0.0139202	108.528	23.504	49.7587
30.4806	2190.8	0.013913	109.511	23.502	52.4958
30.7375	2210.45	0.0139055	110.494	23.499	60.4032
30.9967	2230.11	0.0138992	111.477	23.503	69.7477
31.2558	2249.77	0.0138929	112.46	23.503	67.949
31.5244	2270.74	0.0138829	113.508	23.495	70.4435
31.7781	2290.39	0.0138745	114.491	23.495	60.0476
32.0304	2310.05	0.0138656	115.474	23.5	53.4075
32.3034	2331.02	0.013858	116.523	23.5	52.5871
32.5591	2350.68	0.013851	117.506	23.501	40.4408
32.8169	2370.33	0.0138448	118.489	23.504	38.8213
33.0905	2391.3	0.0138379	119.538	23.505	36.3245
33.349	2410.96	0.0138323	120.521	23.5	30.6851
33.6033	2430.62	0.013825	121.504	23.498	38.8835
33.8537	2450.27	0.0138163	122.487	23.498	37.8336
34.1073	2469.93	0.013809	123.47	23.5	46.4832
34.3768	2490.9	0.013801	124.518	23.505	50.7309
34.6329	2510.56	0.0137949	125.501	23.5	39.6689
34.8908	2530.22	0.0137896	126.485	23.5	40.7694
35.1601	2551.19	0.0137819	127.533	23.501	35.1793
35.4324	2570.77	0.0137828	128.516	23.502	19.9953
35.6521	2590.48	0.0137627	129.499	23.503	15.201
35.9456	2610.17	0.0137714	130.482	23.497	10.943
36.1585	2629.8	0.0137495	131.465	23.489	4.77506
36.4406	2650.78	0.0137471	132.514	23.502	11.9665
36.69	2670.44	0.0137393	133.497	23.495	15.6908
36.9401	2690.1	0.0137319	134.48	23.501	16.5936
37.2066	2711.07	0.013724	135.528	23.501	9.88025
37.4496	2730.72	0.0137142	136.512	23.501	37.4156
37.7006	2750.38	0.0137074	137.495	23.499	28.8796
37.9477	2770.04	0.0136994	138.478	23.5	-4.98452
38.2027	2789.69	0.0136942	139.461	23.498	9.41655
38.4705	2810.66	0.0136873	140.509	23.5	-11.2243
38.72	2830.32	0.0136805	141.492	23.502	-1.74506
38.9691	2849.98	0.0136735	142.475	23.503	-22.8303
39.2308	2870.95	0.0136648	143.524	23.498	-23.0101
39.4816	2890.6	0.0136586	144.507	23.507	-19.2503
39.727	2910.26	0.0136507	145.49	23.509	-12.6085
39.9958	2931.23	0.0136447	146.539	23.498	-10.3705
40.244	2950.89	0.0136379	147.522	23.499	-6.45117
40.4901	2970.55	0.0136305	148.505	23.502	-5.89825
40.738	2990.2	0.0136238	149.488	23.5	-7.24043
40.9851	3009.86	0.013617	150.471	23.496	-13.5754
41.2457	3030.83	0.0136087	151.519	23.502	-31.0295
41.4921	3050.49	0.0136018	152.502	23.502	-40.0193
41.7397	3070.14	0.0135954	153.485	23.498	-43.2434
42.0003	3091.11	0.0135874	154.534	23.495	-52.2009
42.2463	3110.77	0.0135807	155.517	23.499	-48.8833
42.491	3130.43	0.0135736	156.5	23.498	-38.6232
42.7416	3150.08	0.0135684	157.483	23.501	-46.2918
42.983	3169.74	0.0135604	158.466	23.506	-36.9407
43.2428	3190.71	0.0135527	159.515	23.507	-36.7973
43.4956	3210.37	0.0135485	160.498	23.504	-36.9654
43.7408	3230.02	0.0135419	161.481	23.496	-41.7044
43.9994	3250.99	0.0135341	162.529	23.497	-48.618
44.2429	3270.65	0.0135273	163.512	23.508	-52.3249
44.4897	3290.31	0.0135214	164.495	23.508	-68.3543
44.7301	3309.97	0.0135138	165.478	23.502	-69.7833
44.972	3329.62	0.0135066	166.461	23.489	-76.6385
45.2318	3350.59	0.0134997	167.51	23.499	-82.5831
45.4761	3370.25	0.0134934	168.493	23.5	-75.2223
45.7243	3389.91	0.0134884	169.476	23.502	-80.3868
45.9875	3410.87	0.0134826	170.525	23.507	-68.2799
