Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.09551	12.9504	-0.0845932	0.466062	23.502	251.856
0.84529	31.0932	0.0271857	1.50736	23.502	249.087
1.05644	50.7441	0.0208189	2.4904	23.498	248.56
1.28068	71.7085	0.0178595	3.53898	23.499	248.516
1.49094	91.3686	0.0163179	4.52202	23.496	250.722
1.70276	111.028	0.0153363	5.50506	23.502	248.313
1.91177	130.686	0.0146286	6.4881	23.499	248.569
2.12169	150.343	0.0141123	7.47114	23.498	251.749
2.34586	171.313	0.0136934	8.51971	23.499	251.978
2.55587	190.969	0.0133837	9.50275	23.5	254.514
2.76633	210.626	0.0131339	10.4858	23.507	254.683
2.9902	231.601	0.012911	11.5344	23.501	256.081
3.19913	251.25	0.0127329	12.5174	23.501	255.237
3.40994	270.915	0.0125867	13.5004	23.502	253.405
3.61893	290.571	0.0124545	14.4835	23.502	253.144
3.83222	310.221	0.0123532	15.4665	23.501	249.454
4.05394	331.198	0.0122402	16.5151	23.507	248.434
4.26301	350.855	0.0121503	17.4981	23.503	247.108
4.47317	370.501	0.0120733	18.4812	23.504	247.981
4.69688	391.48	0.0119977	19.5298	23.497	249.542
4.90656	411.138	0.0119341	20.5128	23.496	250.004
5.11473	430.796	0.0118728	21.4958	23.496	252.401
5.32327	450.453	0.0118176	22.4789	23.499	254.947
5.53205	470.11	0.0117676	23.4619	23.499	254.776
5.75397	491.079	0.011717	24.5105	23.499	254.189
5.96267	510.736	0.0116747	25.4935	23.492	250.412
6.17045	530.377	0.0116341	26.4766	23.501	248.001
6.39323	551.361	0.0115954	27.5252	23.505	246.369
6.60146	571.019	0.0115608	28.5082	23.495	242.085
6.80961	590.676	0.0115285	29.4912	23.499	241.88
7.02874	611.645	0.0114915	30.5398	23.495	243.472
7.23682	631.302	0.0114633	31.5228	23.497	245.137
7.44277	650.96	0.0114335	32.5059	23.499	245.117
7.64921	670.617	0.0114062	33.4889	23.497	249.633
7.85429	690.275	0.0113785	34.472	23.498	251.854
8.07327	711.243	0.0113509	35.5205	23.499	249.946
8.27925	730.9	0.0113275	36.5036	23.503	249.896
8.47928	750.549	0.0112974	37.4866	23.501	245.236
8.7106	771.531	0.01129	38.5352	23.501	242.041
8.90581	791.159	0.0112567	39.5182	23.503	239.315
9.11395	810.84	0.0112401	40.5013	23.504	233.663
9.31956	830.498	0.0112217	41.4843	23.503	233.635
9.52411	850.156	0.0112028	42.4674	23.501	235.67
9.74283	871.124	0.0111842	43.5159	23.496	237.691
9.94711	890.781	0.0111667	44.499	23.504	237.737
10.1523	910.438	0.011151	45.482	23.508	241.249
10.371	931.406	0.0111347	46.5306	23.503	243.465
10.5753	951.065	0.0111194	47.5136	23.493	245.122
10.7786	970.722	0.0111037	48.4967	23.493	242.303
10.9815	990.38	0.0110882	49.4797	23.496	238.847
11.1855	1010.04	0.0110744	50.4628	23.5	230.995
11.4031	1031	0.0110601	51.5113	23.505	229.414
11.6062	1050.66	0.0110466	52.4944	23.504	226.009
11.8112	1070.32	0.0110352	53.4774	23.506	223.907
12.0281	1091.29	0.0110219	54.526	23.5	225.629
12.2311	1110.95	0.0110096	55.509	23.5	227.02
12.4353	1130.6	0.0109988	56.4921	23.498	229.754
12.6538	1151.57	0.0109883	57.5406	23.504	233.917
12.8581	1171.23	0.0109783	58.5237	23.501	233.813
13.0601	1190.89	0.0109667	59.5067	23.504	235.028
13.2681	1210.54	0.0109605	60.4898	23.501	232.057
13.4618	1230.18	0.010943	61.4728	23.498	229.359
13.6779	1251.19	0.0109319	62.5214	23.497	223.822
13.8826	1270.81	0.0109242	63.5044	23.498	217.514
14.0958	1290.5	0.0109227	64.4875	23.502	215.272
14.3168	1311.44	0.0109169	65.536	23.504	213.028
14.5026	1331.08	0.0108953	66.5191	23.508	215.505
14.7151	1350.77	0.0108939	67.5021	23.498	216.437
14.9184	1370.43	0.0108859	68.4852	23.493	217.272
15.1207	1390.08	0.0108776	69.4682	23.493	222.187
15.338	1411.05	0.01087	70.5168	23.501	225.692
15.5414	1430.71	0.0108628	71.4998	23.499	222.727
15.7444	1450.36	0.0108555	72.4828	23.501	219.481
15.9599	1471.33	0.0108473	73.5314	23.497	213.129
16.1613	1490.99	0.0108393	74.5145	23.507	210.327
16.367	1510.65	0.0108344	75.4975	23.502	202.274
16.5697	1530.31	0.0108277	76.4805	23.501	202.877
16.7712	1549.96	0.0108204	77.4636	23.494	196.76
16.9853	1570.93	0.0108122	78.5122	23.493	197.185
