Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-1.06479	13.105	-0.0812503	0.466062	23.504	34.582
1.06422	31.0852	0.0342356	1.50736	23.506	33.647
1.41106	50.7369	0.0278113	2.4904	23.498	30.6311
1.7817	71.702	0.0248487	3.53898	23.494	28.6428
2.13345	91.3605	0.023352	4.52202	23.494	31.1327
2.47868	111.021	0.0223263	5.50506	23.494	29.602
2.82436	130.676	0.0216135	6.4881	23.509	28.2792
3.17243	150.338	0.021102	7.47114	23.507	32.6354
3.54247	171.304	0.0206794	8.51971	23.495	39.0133
3.89149	190.96	0.0203786	9.50275	23.497	37.4242
4.23634	210.625	0.0201132	10.4858	23.5	39.37
4.60796	231.585	0.0198975	11.5344	23.502	40.4772
4.95492	251.249	0.0197211	12.5174	23.497	38.8449
5.30082	270.907	0.0195669	13.5004	23.503	32.8494
5.64734	290.564	0.0194358	14.4835	23.505	33.4441
5.99557	310.212	0.0193273	15.4665	23.497	30.5863
6.36496	331.189	0.0192185	16.5151	23.505	26.0761
6.71031	350.848	0.019126	17.4981	23.5	25.7535
7.05559	370.492	0.0190439	18.4812	23.498	32.8843
7.42454	391.472	0.0189657	19.5298	23.504	30.9051
7.76853	411.129	0.0188956	20.5128	23.499	38.1441
8.1123	430.788	0.0188313	21.4958	23.496	38.0502
8.45691	450.444	0.0187746	22.4789	23.496	39.1042
8.80225	470.095	0.0187244	23.4619	23.498	40.8779
9.16075	491.062	0.018655	24.5105	23.494	36.0338
9.50842	510.727	0.0186174	25.4935	23.504	32.4562
9.8544	530.385	0.0185797	26.4766	23.506	29.681
10.2183	551.353	0.0185332	27.5252	23.505	25.1169
10.56	571.01	0.0184935	28.5082	23.505	18.2546
10.9032	590.668	0.0184591	29.4912	23.493	25.2831
11.265	611.637	0.0184177	30.5398	23.495	22.5244
11.6011	631.294	0.0183767	31.5228	23.5	28.9843
11.9393	650.952	0.0183413	32.5059	23.502	31.642
12.278	670.609	0.0183087	33.4889	23.493	33.9653
12.6163	690.266	0.0182774	34.472	23.499	37.6465
12.9763	711.234	0.0182448	35.5205	23.492	35.3531
13.3121	730.893	0.0182135	36.5036	23.5	30.5845
13.6479	750.55	0.0181839	37.4866	23.502	26.3084
14.0077	771.518	0.018156	38.5352	23.502	21.4832
14.3439	791.175	0.0181298	39.5182	23.497	17.1392
14.6768	810.834	0.0181009	40.5013	23.499	12.4651
15.0085	830.491	0.0180719	41.4843	23.503	15.0706
15.3398	850.149	0.0180437	42.4674	23.5	14.6834
15.6955	871.116	0.0180177	43.5159	23.502	18.2783
16.0311	890.772	0.0179969	44.499	23.503	24.5332
16.3541	910.426	0.0179631	45.482	23.5	23.7994
16.7189	931.383	0.0179506	46.5306	23.498	22.8872
17.0537	951.049	0.0179315	47.5136	23.5	26.6937
17.3783	970.715	0.0179026	48.4967	23.499	26.8495
17.7088	990.371	0.017881	49.4797	23.505	14.2415
18.0411	1010.03	0.017862	50.4628	23.502	12.2018
18.3929	1031	0.0178399	51.5113	23.491	7.72039
18.7228	1050.65	0.0178201	52.4944	23.496	3.50573
19.049	1070.31	0.0177976	53.4774	23.505	2.72069
19.4009	1091.28	0.0177781	54.526	23.504	4.97314
19.732	1110.94	0.0177616	55.509	23.501	9.9118
20.0615	1130.59	0.0177442	56.4921	23.504	17.5726
20.4137	1151.56	0.017727	57.5406	23.499	12.3816
20.7434	1171.22	0.0177109	58.5237	23.495	12.8295
21.07	1190.88	0.0176928	59.5067	23.499	12.1942
21.3969	1210.54	0.0176755	60.4898	23.501	15.1131
21.7239	1230.19	0.0176589	61.4728	23.498	2.10977
22.0658	1251.14	0.0176365	62.5214	23.504	1.4184
22.416	1270.84	0.0176388	63.5044	23.502	-7.8545
22.72	1290.47	0.0176059	64.4875	23.494	-9.90453
23.0766	1311.42	0.0175966	65.536	23.499	-12.2602
23.4182	1331.13	0.0175927	66.5191	23.502	-8.18062
23.7339	1350.72	0.0175713	67.5021	23.5	-2.10218
24.0618	1370.42	0.017558	68.4852	23.498	9.94215
