Flow ramp - 1					
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
Pa	1/s	Pa.s	s	°C	Pa
-0.689062	12.4375	-0.055402	0.466062	23.503	40.5204
0.987128	31.0891	0.0317515	1.50736	23.501	45.2432
1.28701	50.7391	0.0253652	2.4904	23.503	42.672
1.60455	71.7036	0.0223776	3.53898	23.499	39.521
1.89935	91.3643	0.0207887	4.52202	23.5	40.1303
2.19813	111.022	0.0197991	5.50506	23.499	40.8309
2.49967	130.679	0.0191284	6.4881	23.5	38.1857
2.79512	150.341	0.0185919	7.47114	23.502	38.5708
3.11323	171.307	0.0181733	8.51971	23.496	42.1157
3.41082	190.964	0.0178611	9.50275	23.497	47.5043
3.71096	210.627	0.0176186	10.4858	23.499	47.2194
4.02789	231.587	0.0173925	11.5344	23.499	49.1
4.32735	251.253	0.0172231	12.5174	23.502	48.8625
4.62479	270.9	0.0170719	13.5004	23.497	46.8384
4.92752	290.565	0.0169584	14.4835	23.502	40.2855
5.22555	310.226	0.0168444	15.4665	23.5	40.4249
5.54368	331.192	0.0167386	16.5151	23.494	40.2571
5.83991	350.85	0.016645	17.4981	23.501	35.7425
6.13624	370.507	0.0165617	18.4812	23.497	37.223
6.45253	391.475	0.0164826	19.5298	23.495	41.2073
6.74867	411.133	0.0164148	20.5128	23.501	40.8935
7.04308	430.791	0.0163492	21.4958	23.503	47.6664
7.33718	450.432	0.0162892	22.4789	23.5	46.702
7.63446	470.104	0.0162399	23.4619	23.499	48.6044
7.94992	491.073	0.0161889	24.5105	23.501	47.9229
8.24733	510.73	0.0161481	25.4935	23.503	43.963
8.54136	530.389	0.016104	26.4766	23.496	35.1178
8.85267	551.357	0.0160562	27.5252	23.494	36.7229
9.14861	571.014	0.0160217	28.5082	23.504	32.529
9.43582	590.672	0.0159747	29.4912	23.501	30.2145
9.74515	611.632	0.015933	30.5398	23.499	29.4973
10.0373	631.282	0.0158998	31.5228	23.5	35.7564
10.3267	650.954	0.0158639	32.5059	23.503	36.3176
10.6189	670.611	0.0158347	33.4889	23.496	38.8033
10.9095	690.269	0.0158047	34.472	23.503	42.8921
11.2221	711.237	0.0157783	35.5205	23.502	43.1486
11.5116	730.895	0.01575	36.5036	23.498	39.6541
11.8035	750.552	0.0157264	37.4866	23.504	36.8625
12.1089	771.522	0.0156948	38.5352	23.496	30.5105
12.3977	791.178	0.01567	39.5182	23.5	24.7118
12.6849	810.836	0.0156442	40.5013	23.501	22.8925
12.9731	830.493	0.015621	41.4843	23.502	22.6129
13.2607	850.151	0.015598	42.4674	23.505	21.5902
13.5652	871.119	0.0155722	43.5159	23.501	25.9479
13.8541	890.745	0.0155534	44.499	23.499	30.0312
14.1399	910.434	0.015531	45.482	23.509	28.1123
14.4474	931.401	0.0155115	46.5306	23.507	34.8666
14.7347	951.059	0.015493	47.5136	23.509	36.8405
15.0202	970.718	0.0154733	48.4967	23.503	34.0417
15.3054	990.374	0.0154542	49.4797	23.498	28.6747
15.5914	1010.03	0.0154365	50.4628	23.499	19.5708
15.8991	1031	0.015421	51.5113	23.499	17.266
16.1837	1050.66	0.0154034	52.4944	23.505	16.2216
16.4729	1070.31	0.0153908	53.4774	23.498	9.96752
16.7752	1091.28	0.015372	54.526	23.501	11.3958
17.0621	1110.94	0.0153583	55.509	23.501	15.4852
17.3487	1130.6	0.0153447	56.4921	23.499	19.5882
17.6528	1151.57	0.0153294	57.5406	23.498	25.1154
17.9396	1171.22	0.015317	58.5237	23.494	22.4221
18.2232	1190.88	0.0153023	59.5067	23.495	26.3038
18.5056	1210.54	0.0152871	60.4898	23.5	25.0718
18.7905	1230.2	0.0152744	61.4728	23.5	17.099
19.0954	1251.16	0.0152621	62.5214	23.497	11.6295
19.381	1270.82	0.0152508	63.5044	23.5	6.94207
19.6672	1290.48	0.0152402	64.4875	23.504	0.418918
19.9681	1311.45	0.015226	65.536	23.5	-5.02095
20.2491	1331.11	0.0152122	66.5191	23.501	3.7347
20.5332	1350.76	0.0152012	67.5021	23.502	2.88462
20.814	1370.37	0.0151886	68.4852	23.5	2.51611
21.0996	1390.08	0.0151787	69.4682	23.499	13.4213
21.4014	1411.05	0.015167	70.5168	23.499	15.2488
21.6834	1430.7	0.0151558	71.4998	23.498	13.9041
21.9665	1450.36	0.0151456	72.4828	23.506	12.3118
22.2677	1471.33	0.0151344	73.5314	23.498	3.89093
22.5497	1490.98	0.0151241	74.5145	23.501	-7.73481
22.832	1510.64	0.0151141	75.4975	23.504	-11.2463
23.1104	1530.3	0.0151018	76.4805	23.504	-12.0688
23.3935	1549.96	0.015093	77.4636	23.5	-21.9477
23.6944	1570.93	0.0150831	78.5122	23.501	-22.3628
23.9759	1590.58	0.0150737	79.4952	23.507	-11.6898
24.2583	1610.24	0.015065	80.4782	23.498	-9.3399
24.5551	1631.21	0.0150533	81.5268	23.502	-2.46114
24.8364	1650.87	0.0150445	82.5099	23.507	-4.02092
25.1157	1670.52	0.0150346	83.4929	23.498	0.821899
25.3947	1690.18	0.0150248	84.4759	23.498	-5.82669
25.6757	1709.84	0.0150165	85.459	23.499	-12.2594
25.9715	1730.81	0.0150054	86.5076	23.503	-28.0258
26.2523	1750.46	0.0149973	87.4906	23.501	-27.8758
26.5336	1770.12	0.0149897	88.4736	23.5	-27.6296
26.8258	1791.09	0.0149773	89.5222	23.504	-34.8689
27.1057	1810.75	0.0149694	90.5052	23.501	-42.8641
27.3871	1830.41	0.0149623	91.4883	23.497	-44.8387
27.6798	1851.37	0.0149509	92.5369	23.502	-29.2074
27.9621	1871.03	0.0149447	93.5199	23.499	-5.39043
28.2412	1890.69	0.014937	94.5029	23.497	-26.0367
28.5217	1910.35	0.0149301	95.486	23.494	-10.3481
28.8028	1930	0.0149237	96.469	23.498	-31.4204
29.1018	1950.97	0.0149166	97.5176	23.497	-29.4601
29.3782	1970.63	0.014908	98.5006	23.497	-42.3793
29.6552	1990.29	0.0149	99.4837	23.502	-44.7324
29.9489	2011.26	0.0148906	100.532	23.504	-57.4669
30.2314	2030.91	0.0148856	101.515	23.501	-56.351
30.5085	2050.57	0.0148781	102.498	23.496	-50.9502
30.7824	2070.23	0.0148691	103.481	23.498	-48.3933
31.0606	2089.89	0.0148624	104.464	23.501	-45.2728
31.3492	2110.85	0.0148514	105.513	23.501	-39.7213
31.6313	2130.51	0.0148468	106.496	23.494	-42.0592
31.9009	2150.17	0.0148365	107.479	23.5	-39.9839
32.2043	2171.07	0.0148334	108.528	23.497	-47.8644
32.4774	2190.83	0.0148243	109.511	23.494	-52.7308
32.7311	2210.42	0.0148076	110.494	23.498	-68.0977
33.024	2230.11	0.0148082	111.477	23.5	-73.1459
33.2986	2249.77	0.0148009	112.46	23.508	-75.1905
33.594	2270.74	0.0147943	113.508	23.503	-73.8131
33.867	2290.39	0.0147865	114.491	23.496	-77.4374
34.1378	2310.05	0.014778	115.474	23.496	-68.2465
34.4279	2331.02	0.0147695	116.523	23.499	-63.2354
34.697	2350.68	0.0147604	117.506	23.499	-69.4303
34.9697	2370.33	0.0147531	118.489	23.504	-52.7086
35.2584	2391.3	0.0147444	119.538	23.504	-57.0943
35.5363	2410.96	0.0147395	120.521	23.504	-66.3201
35.8067	2430.62	0.0147315	121.504	23.504	-70.8086
36.0785	2450.27	0.0147243	122.487	23.502	-89.6823
