Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
109.533	106.8202
109.528	106.8106
109.524	106.8010
109.518	106.7913
109.513	106.7818
109.510	106.7723
109.505	106.7628
109.503	106.7535
109.502	106.7440
109.498	106.7345
109.496	106.7252
109.493	106.7158
109.489	106.7066
109.485	106.6974
109.485	106.6882
109.487	106.6789
109.486	106.6696
109.487	106.6603
109.489	106.6511
109.488	106.6420
109.486	106.6329
109.485	106.6238
109.484	106.6149
109.483	106.6062
109.481	106.5972
109.482	106.5881
109.484	106.5790
109.486	106.5699
109.488	106.5611
109.491	106.5522
109.491	106.5432
109.491	106.5341
109.491	106.5252
109.495	106.5164
109.498	106.5078
109.497	106.4991
109.498	106.4904
109.498	106.4818
109.499	106.4731
109.497	106.4645
109.495	106.4559
109.489	106.4474
109.484	106.4388
109.476	106.4303
109.465	106.4219
109.457	106.4135
109.453	106.4051
109.447	106.3967
109.442	106.3884
109.436	106.3802
109.429	106.3719
109.425	106.3635
109.421	106.3551
109.412	106.3467
109.403	106.3387
109.396	106.3307
109.390	106.3226
109.383	106.3144
109.376	106.3063
109.368	106.2981
109.364	106.2901
109.359	106.2822
109.351	106.2744
109.354	106.2665
109.362	106.2586
109.368	106.2507
109.377	106.2429
109.385	106.2351
109.393	106.2272
109.400	106.2195
109.409	106.2118
109.414	106.2041
109.421	106.1965
109.426	106.1889
109.431	106.1812
109.435	106.1735
109.441	106.1659
109.445	106.1584
109.446	106.1509
109.447	106.1433
109.448	106.1357
109.447	106.1282
109.447	106.1208
109.448	106.1134
109.448	106.1061
109.448	106.0988
109.448	106.0916
109.448	106.0844
109.448	106.0771
109.449	106.0696
109.449	106.0622
109.449	106.0549
109.448	106.0478
109.448	106.0406
109.447	106.0335
109.446	106.0264
109.446	106.0193
109.447	106.0123
109.446	106.0053
109.443	105.9984
109.444	105.9914
109.442	105.9845
109.439	105.9777
109.435	105.9708
109.432	105.9639
109.430	105.9570
109.430	105.9503
109.424	105.9434
109.416	105.9367
109.413	105.9297
109.415	105.9230
109.416	105.9163
109.410	105.9097
109.407	105.9033
109.401	105.8967
109.391	105.8901
109.380	105.8836
109.368	105.8771
109.356	105.8705
109.345	105.8640
109.335	105.8576
109.327	105.8511
109.323	105.8447
109.313	105.8384
109.303	105.8321
109.297	105.8258
109.293	105.8196
109.285	105.8134
109.281	105.8072
109.276	105.8011
109.269	105.7950
109.260	105.7889
109.255	105.7827
109.257	105.7768
109.258	105.7707
109.255	105.7646
109.259	105.7585
109.261	105.7526
109.268	105.7467
109.276	105.7408
109.278	105.7349
109.279	105.7289
109.281	105.7230
109.285	105.7172
109.288	105.7114
109.289	105.7058
109.288	105.7000
109.285	105.6942
109.283	105.6886
109.281	105.6829
109.285	105.6772
109.293	105.6716
109.300	105.6662
109.302	105.6607
109.298	105.6552
109.295	105.6498
109.298	105.6444
109.304	105.6391
109.298	105.6336
109.302	105.6283
109.304	105.6229
109.299	105.6177
109.295	105.6125
109.296	105.6073
109.301	105.6022
109.304	105.5969
109.305	105.5917
109.307	105.5866
109.307	105.5815
109.308	105.5764
109.308	105.5712
109.309	105.5662
109.310	105.5612
109.311	105.5562
109.313	105.5512
109.313	105.5463
109.312	105.5414
109.312	105.5366
109.313	105.5318
109.314	105.5269
109.314	105.5221
109.317	105.5175
109.318	105.5127
109.321	105.5079
109.324	105.5032
109.327	105.4986
109.329	105.4941
109.331	105.4896
109.334	105.4850
109.335	105.4806
109.334	105.4761
109.336	105.4716
109.337	105.4670
109.333	105.4625
109.326	105.4582
109.318	105.4537
109.311	105.4494
109.305	105.4452
109.303	105.4409
109.297	105.4367
109.293	105.4325
109.292	105.4283
109.297	105.4241
109.300	105.4199
109.303	105.4156
109.301	105.4115
109.298	105.4075
109.293	105.4035
109.288	105.3996
109.283	105.3956
109.279	105.3916
109.271	105.3877
109.265	105.3839
109.258	105.3801
109.254	105.3763
109.248	105.3725
109.241	105.3687
109.235	105.3649
109.228	105.3611
109.224	105.3575
109.230	105.3539
109.231	105.3503
109.231	105.3466
109.229	105.3429
109.229	105.3393
109.230	105.3358
109.231	105.3323
109.230	105.3288
109.229	105.3253
109.229	105.3218
109.236	105.3183
109.245	105.3148
109.251	105.3114
109.256	105.3081
109.262	105.3046
109.263	105.3011
109.267	105.2977
109.263	105.2945
109.265	105.2913
109.262	105.2883
109.260	105.2852
109.259	105.2821
109.257	105.2790
109.252	105.2759
109.246	105.2727
109.243	105.2694
109.241	105.2664
109.245	105.2633
109.247	105.2604
109.247	105.2576
109.248	105.2545
109.250	105.2515
109.252	105.2486
109.252	105.2459
109.256	105.2431
109.271	105.2403
109.298	105.2375
109.339	105.2346
109.387	105.2319
109.452	105.2293
109.536	105.2265
109.619	105.2238
109.719	105.2211
109.808	105.2185
109.913	105.2158
110.032	105.2134
110.146	105.2110
110.273	105.2085
110.407	105.2059
110.543	105.2033
110.682	105.2006
110.821	105.1979
110.957	105.1952
111.092	105.1927
111.242	105.1901
111.396	105.1876
111.552	105.1851
111.706	105.1824
111.858	105.1799
112.008	105.1774
112.164	105.1749
112.320	105.1724
112.477	105.1698
112.637	105.1673
112.801	105.1649
112.968	105.1623
113.132	105.1597
113.296	105.1571
113.461	105.1546
113.623	105.1520
113.786	105.1495
113.946	105.1471
114.111	105.1445
114.276	105.1421
114.445	105.1398
114.615	105.1376
114.784	105.1353
114.946	105.1329
115.109	105.1304
115.277	105.1279
115.446	105.1256
115.613	105.1233
115.779	105.1208
115.946	105.1184
116.115	105.1160
116.282	105.1136
116.449	105.1113
116.620	105.1090
116.799	105.1067
116.970	105.1044
117.134	105.1021
117.299	105.0997
117.466	105.0973
117.634	105.0949
117.806	105.0927
117.972	105.0902
118.137	105.0879
118.307	105.0855
118.478	105.0833
118.648	105.0810
118.818	105.0785
118.988	105.0762
119.160	105.0739
119.331	105.0715
119.508	105.0692
119.687	105.0669
119.870	105.0646
120.050	105.0623
120.230	105.0600
120.410	105.0577
120.590	105.0554
120.769	105.0531
120.947	105.0508
121.123	105.0485
121.299	105.0461
121.474	105.0437
121.648	105.0412
121.821	105.0387
121.993	105.0364
122.163	105.0342
122.333	105.0320
122.504	105.0297
122.674	105.0274
122.843	105.0250
123.014	105.0227
123.185	105.0205
123.358	105.0182
123.533	105.0159
123.705	105.0136
123.879	105.0112
124.052	105.0091
124.224	105.0069
124.398	105.0046
124.575	105.0023
124.753	105.0000
124.927	104.9978
125.101	104.9955
125.272	104.9933
125.447	104.9911
125.622	104.9888
125.793	104.9865
125.964	104.9841
126.132	104.9819
126.303	104.9796
126.476	104.9771
126.645	104.9748
126.811	104.9725
126.976	104.9703
127.144	104.9681
127.316	104.9659
127.492	104.9636
127.671	104.9615
127.849	104.9593
128.022	104.9572
128.203	104.9550
128.382	104.9528
128.558	104.9508
128.733	104.9486
128.909	104.9464
129.077	104.9441
129.245	104.9418
129.416	104.9396
129.588	104.9373
129.766	104.9351
129.943	104.9329
130.120	104.9307
130.297	104.9285
130.472	104.9262
130.638	104.9240
130.810	104.9218
