Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Time (min)	Weight % (%)
5.783	98.6737
5.800	98.6758
5.817	98.6758
5.833	98.6733
5.850	98.6683
5.867	98.6626
5.883	98.6554
5.900	98.6475
5.917	98.6379
5.933	98.6319
5.950	98.6277
5.967	98.6277
5.983	98.6281
6.000	98.6305
6.017	98.6253
6.033	98.6155
6.050	98.6113
6.067	98.6060
6.083	98.6027
6.100	98.6007
6.117	98.5931
6.133	98.5875
6.150	98.5818
6.167	98.5694
6.183	98.5600
6.200	98.5568
6.217	98.5580
6.233	98.5576
6.250	98.5545
6.267	98.5506
6.283	98.5465
6.300	98.5448
6.317	98.5396
6.333	98.5354
6.350	98.5241
6.367	98.5159
6.383	98.5236
6.400	98.5275
6.417	98.5242
6.433	98.5191
6.450	98.5164
6.467	98.5114
6.483	98.5054
6.500	98.5020
6.517	98.5018
6.533	98.5011
6.550	98.4977
6.567	98.4943
6.583	98.4899
6.600	98.4808
6.617	98.4730
6.633	98.4672
6.650	98.4645
6.667	98.4591
6.683	98.4536
6.700	98.4550
6.717	98.4556
6.733	98.4493
6.750	98.4414
6.767	98.4389
6.783	98.4349
6.800	98.4303
6.817	98.4210
6.833	98.4126
6.850	98.4105
6.867	98.4153
6.883	98.4166
6.900	98.4116
6.917	98.4029
6.933	98.3957
6.950	98.3917
6.967	98.3868
6.983	98.3840
7.000	98.3766
7.017	98.3756
7.033	98.3736
7.050	98.3748
7.067	98.3739
7.083	98.3734
7.100	98.3753
7.117	98.3734
7.133	98.3667
7.150	98.3611
7.167	98.3533
7.183	98.3515
7.200	98.3474
7.217	98.3429
7.233	98.3388
7.250	98.3355
7.267	98.3309
7.283	98.3202
7.300	98.3108
7.317	98.3051
7.333	98.3073
7.350	98.3070
7.367	98.3068
7.383	98.3093
7.400	98.3062
7.417	98.2985
7.433	98.2916
7.450	98.2875
7.467	98.2825
7.483	98.2774
7.500	98.2744
7.517	98.2720
7.533	98.2654
7.550	98.2628
7.567	98.2620
7.583	98.2670
7.600	98.2653
7.617	98.2609
7.633	98.2581
7.650	98.2562
7.667	98.2548
7.683	98.2523
7.700	98.2461
7.717	98.2420
7.733	98.2368
7.750	98.2350
7.767	98.2320
7.783	98.2264
7.800	98.2253
7.817	98.2196
7.833	98.2139
7.850	98.2102
7.867	98.2071
7.883	98.2004
7.900	98.1952
7.917	98.1919
7.933	98.1901
7.950	98.1895
7.967	98.1843
7.983	98.1785
8.000	98.1729
8.017	98.1660
8.033	98.1650
8.050	98.1649
8.067	98.1655
8.083	98.1651
8.100	98.1637
8.117	98.1630
8.133	98.1601
8.150	98.1539
8.167	98.1486
8.183	98.1448
8.200	98.1436
8.217	98.1409
8.233	98.1368
8.250	98.1350
8.267	98.1303
8.283	98.1237
8.300	98.1200
8.317	98.1193
8.333	98.1207
8.350	98.1238
8.367	98.1251
8.383	98.1261
8.400	98.1223
8.417	98.1138
8.433	98.1099
8.450	98.1016
8.467	98.0966
8.483	98.0924
8.500	98.0890
8.517	98.0845
8.533	98.0812
8.550	98.0766
8.567	98.0763
8.583	98.0754
8.600	98.0742
8.617	98.0733
8.633	98.0720
8.650	98.0661
8.667	98.0618
8.683	98.0566
8.700	98.0540
8.717	98.0498
8.733	98.0469
8.750	98.0477
8.767	98.0463
8.783	98.0471
8.800	98.0486
8.817	98.0445
8.833	98.0384
8.850	98.0324
8.867	98.0244
8.883	98.0206
8.900	98.0191
8.917	98.0175
8.933	98.0122
8.950	98.0080
8.967	98.0062
8.983	98.0020
9.000	97.9977
9.017	97.9923
9.033	97.9918
9.050	97.9916
9.067	97.9889
9.083	97.9874
9.100	97.9832
9.117	97.9781
9.133	97.9746
9.150	97.9704
9.167	97.9654
9.183	97.9622
9.200	97.9602
9.217	97.9574
9.233	97.9571
9.250	97.9582
9.267	97.9571
9.283	97.9552
9.300	97.9521
9.317	97.9468
9.333	97.9401
9.350	97.9315
9.367	97.9270
9.383	97.9256
9.400	97.9250
9.417	97.9228
9.433	97.9235
9.450	97.9213
9.467	97.9180
9.483	97.9153
9.500	97.9125
9.517	97.9127
9.533	97.9120
9.550	97.9069
9.567	97.9013
9.583	97.8984
9.600	97.8962
9.617	97.8948
9.633	97.8920
9.650	97.8887
9.667	97.8862
9.683	97.8837
9.700	97.8830
9.717	97.8799
9.733	97.8737
9.750	97.8697
9.767	97.8626
9.783	97.8571
9.800	97.8537
9.817	97.8534
9.833	97.8544
9.850	97.8523
9.867	97.8501
9.883	97.8482
9.900	97.8445
9.917	97.8342
9.933	97.8254
9.950	97.8199
9.967	97.8237
9.983	97.8238
10.000	97.8201
10.017	97.8180
10.033	97.8162
10.050	97.8155
10.067	97.8153
10.083	97.8138
10.100	97.8128
10.117	97.8035
10.133	97.7955
10.150	97.7908
10.167	97.7912
10.183	97.7929
10.200	97.7990
10.217	97.8023
10.233	97.8023
10.250	97.8057
10.267	97.8074
10.283	97.8028
10.300	97.7916
10.317	97.7855
10.333	97.7787
10.350	97.7728
10.367	97.7648
10.383	97.7614
10.400	97.7609
10.417	97.7626
10.433	97.7554
10.450	97.7500
