Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1_8_31_16.tg1d

Temperature (°C)	Weight % (%)
26.213	99.9765
26.293	99.9766
26.384	99.9770
26.479	99.9770
26.579	99.9772
26.681	99.9769
26.779	99.9763
26.871	99.9757
26.957	99.9747
27.035	99.9734
27.106	99.9718
27.170	99.9701
27.227	99.9683
27.278	99.9665
27.324	99.9645
27.365	99.9625
27.401	99.9603
27.435	99.9581
27.464	99.9557
27.490	99.9532
27.514	99.9506
27.536	99.9483
27.555	99.9459
27.573	99.9434
27.590	99.9408
27.604	99.9380
27.618	99.9354
27.630	99.9327
27.642	99.9299
27.652	99.9272
27.662	99.9245
27.671	99.9218
27.679	99.9190
27.687	99.9161
27.694	99.9131
27.700	99.9101
27.706	99.9074
27.712	99.9045
27.717	99.9018
27.722	99.8990
27.727	99.8962
27.731	99.8933
27.735	99.8904
27.738	99.8875
27.742	99.8846
27.745	99.8817
27.748	99.8788
27.751	99.8758
27.755	99.8730
27.757	99.8701
27.760	99.8674
27.763	99.8645
27.765	99.8616
27.767	99.8588
27.769	99.8563
27.771	99.8535
27.773	99.8508
27.775	99.8481
27.777	99.8452
27.778	99.8423
27.780	99.8393
27.783	99.8364
27.793	99.8337
27.809	99.8311
27.835	99.8290
27.884	99.8272
28.054	99.8267
28.521	99.8313
29.218	99.8378
30.018	99.8426
30.842	99.8443
31.649	99.8432
32.419	99.8394
33.136	99.8333
33.796	99.8251
23.879	99.8152
16.207	99.8035
14.891	99.7903
16.610	99.7756
19.694	99.7596
23.314	99.7421
27.062	99.7238
30.762	99.7048
34.337	99.6849
37.765	99.6643
41.044	99.6433
44.185	99.6219
47.205	99.6002
50.116	99.5781
52.929	99.5559
55.659	99.5335
58.322	99.5108
60.919	99.4881
63.460	99.4654
65.947	99.4425
68.387	99.4197
70.785	99.3967
73.142	99.3737
75.465	99.3506
77.751	99.3273
80.010	99.3038
82.233	99.2798
84.396	99.2554
86.455	99.2303
88.365	99.2045
90.107	99.1781
91.678	99.1514
93.082	99.1244
94.338	99.0971
95.463	99.0694
96.469	99.0417
97.373	99.0140
98.186	98.9863
98.921	98.9585
99.585	98.9306
100.188	98.9027
100.742	98.8746
101.253	98.8463
101.729	98.8179
102.169	98.7893
102.577	98.7604
102.967	98.7314
103.334	98.7022
103.681	98.6723
104.007	98.6346
104.308	98.5868
104.590	98.5351
104.854	98.4850
105.100	98.4393
105.331	98.3982
105.550	98.3612
105.754	98.3272
105.955	98.2958
106.139	98.2662
106.315	98.2379
106.477	98.2105
106.635	98.1839
106.781	98.1577
106.920	98.1317
107.053	98.1060
107.183	98.0807
107.302	98.0552
107.417	98.0299
107.524	98.0048
107.627	97.9798
107.731	97.9549
107.827	97.9302
107.918	97.9056
108.007	97.8812
108.097	97.8568
108.177	97.8325
108.253	97.8084
108.325	97.7842
108.390	97.7600
108.453	97.7360
