Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Temperature (°C)	Weight % (%)
109.860	98.6758
109.856	98.6758
109.857	98.6733
109.858	98.6683
109.858	98.6626
109.862	98.6554
109.863	98.6475
109.869	98.6379
109.867	98.6319
109.872	98.6277
109.868	98.6277
109.865	98.6281
109.861	98.6305
109.853	98.6253
109.844	98.6155
109.836	98.6113
109.829	98.6060
109.822	98.6027
109.814	98.6007
109.810	98.5931
109.807	98.5875
109.806	98.5818
109.803	98.5694
109.803	98.5600
109.802	98.5568
109.801	98.5580
109.801	98.5576
109.803	98.5545
109.803	98.5506
109.805	98.5465
109.805	98.5448
109.808	98.5396
109.809	98.5354
109.813	98.5241
109.808	98.5159
109.810	98.5236
109.814	98.5275
109.817	98.5242
109.815	98.5191
109.814	98.5164
109.813	98.5114
109.817	98.5054
109.806	98.5020
109.798	98.5018
109.791	98.5011
109.787	98.4977
109.784	98.4943
109.782	98.4899
109.779	98.4808
109.776	98.4730
109.771	98.4672
109.770	98.4645
109.771	98.4591
109.774	98.4536
109.775	98.4550
109.778	98.4556
109.781	98.4493
109.779	98.4414
109.774	98.4389
109.781	98.4349
109.778	98.4303
109.780	98.4210
109.778	98.4126
109.769	98.4105
109.761	98.4153
109.759	98.4166
109.759	98.4116
109.761	98.4029
109.752	98.3957
109.752	98.3917
109.755	98.3868
109.750	98.3840
109.755	98.3766
109.757	98.3756
109.759	98.3736
109.760	98.3748
109.752	98.3739
109.753	98.3734
109.757	98.3753
109.754	98.3734
109.759	98.3667
109.760	98.3611
109.749	98.3533
109.748	98.3515
109.744	98.3474
109.744	98.3429
109.744	98.3388
109.738	98.3355
109.740	98.3309
109.741	98.3202
109.731	98.3108
109.733	98.3051
109.726	98.3073
109.716	98.3070
109.713	98.3068
109.706	98.3093
109.705	98.3062
109.704	98.2985
109.692	98.2916
109.691	98.2875
109.682	98.2825
109.680	98.2774
109.679	98.2744
109.667	98.2720
109.655	98.2654
109.643	98.2628
109.631	98.2620
109.613	98.2670
109.595	98.2653
109.578	98.2609
109.561	98.2581
109.548	98.2562
109.536	98.2548
109.527	98.2523
109.523	98.2461
109.525	98.2420
109.527	98.2368
109.531	98.2350
109.534	98.2320
109.530	98.2264
109.534	98.2253
109.538	98.2196
109.532	98.2139
109.534	98.2102
109.532	98.2071
109.533	98.2004
109.534	98.1952
109.537	98.1919
109.540	98.1901
109.541	98.1895
109.545	98.1843
109.553	98.1785
109.555	98.1729
109.553	98.1660
109.561	98.1650
109.561	98.1649
109.556	98.1655
109.561	98.1651
109.562	98.1637
109.564	98.1630
109.557	98.1601
109.560	98.1539
109.557	98.1486
109.553	98.1448
109.547	98.1436
109.543	98.1409
109.543	98.1368
109.537	98.1350
109.527	98.1303
109.531	98.1237
109.527	98.1200
109.515	98.1193
109.515	98.1207
109.507	98.1238
109.501	98.1251
109.496	98.1261
109.490	98.1223
109.491	98.1138
109.491	98.1099
109.486	98.1016
109.486	98.0966
109.480	98.0924
109.481	98.0890
109.482	98.0845
109.481	98.0812
109.480	98.0766
109.477	98.0763
109.475	98.0754
109.474	98.0742
109.468	98.0733
109.470	98.0720
109.464	98.0661
109.454	98.0618
109.450	98.0566
109.451	98.0540
109.443	98.0498
109.444	98.0469
109.441	98.0477
109.436	98.0463
109.434	98.0471
109.430	98.0486
109.429	98.0445
109.429	98.0384
109.432	98.0324
109.424	98.0244
109.424	98.0206
109.422	98.0191
109.422	98.0175
109.426	98.0122
109.436	98.0080
109.443	98.0062
109.436	98.0020
109.434	97.9977
109.431	97.9923
109.427	97.9918
109.417	97.9916
109.419	97.9889
109.417	97.9874
109.413	97.9832
109.409	97.9781
109.412	97.9746
109.416	97.9704
109.412	97.9654
109.413	97.9622
109.407	97.9602
109.403	97.9574
109.403	97.9571
109.404	97.9582
109.407	97.9571
109.402	97.9552
109.404	97.9521
109.403	97.9468
109.401	97.9401
109.401	97.9315
109.390	97.9270
109.391	97.9256
109.384	97.9250
109.386	97.9228
109.386	97.9235
109.386	97.9213
109.389	97.9180
109.393	97.9153
109.405	97.9125
109.404	97.9127
109.414	97.9120
109.409	97.9069
109.421	97.9013
109.419	97.8984
109.419	97.8962
109.410	97.8948
109.416	97.8920
109.408	97.8887
109.412	97.8862
109.411	97.8837
109.411	97.8830
109.411	97.8799
109.416	97.8737
109.420	97.8697
109.416	97.8626
109.415	97.8571
109.422	97.8537
109.427	97.8534
109.436	97.8544
109.440	97.8523
109.440	97.8501
109.444	97.8482
109.448	97.8445
109.438	97.8342
109.432	97.8254
109.425	97.8199
109.415	97.8237
109.408	97.8238
109.409	97.8201
109.402	97.8180
109.395	97.8162
109.390	97.8155
109.392	97.8153
109.383	97.8138
109.381	97.8128
109.378	97.8035
109.365	97.7955
109.360	97.7908
109.345	97.7912
109.329	97.7929
109.317	97.7990
109.303	97.8023
109.292	97.8023
109.276	97.8057
109.266	97.8074
109.256	97.8028
109.244	97.7916
109.231	97.7855
109.225	97.7787
109.217	97.7728
109.208	97.7648
109.201	97.7614
109.201	97.7609
109.207	97.7626
109.211	97.7554
109.215	97.7500
109.213	97.7463
109.213	97.7470
109.222	97.7457
109.227	97.7441
109.229	97.7422
109.229	97.7364
109.236	97.7321
109.240	97.7317
109.241	97.7340
109.237	97.7328
109.242	97.7271
109.244	97.7219
109.250	97.7233
109.254	97.7194
109.256	97.7166
109.257	97.7152
109.253	97.7119
109.242	97.7079
109.234	97.7059
109.226	97.7019
109.219	97.6983
109.217	97.6970
109.220	97.6891
109.219	97.6806
109.222	97.6759
109.217	97.6726
109.214	97.6710
109.214	97.6693
109.211	97.6680
109.209	97.6683
109.209	97.6684
109.207	97.6707
109.204	97.6731
109.204	97.6723
109.201	97.6684
109.198	97.6663
109.188	97.6680
109.177	97.6682
109.173	97.6650
109.167	97.6625
109.155	97.6577
109.151	97.6507
109.146	97.6467
109.142	97.6430
109.130	97.6390
109.128	97.6366
109.126	97.6351
109.122	97.6342
109.121	97.6316
109.119	97.6308
109.113	97.6310
109.123	97.6301
109.111	97.6240
109.107	97.6184
109.103	97.6159
109.100	97.6163
109.096	97.6141
109.101	97.6099
109.102	97.6077
109.104	97.6065
109.105	97.6058
109.111	97.6038
109.112	97.5978
109.112	97.5909
109.115	97.5866
109.108	97.5853
109.114	97.5811
109.116	97.5774
109.116	97.5767
109.116	97.5751
109.120	97.5727
109.130	97.5722
109.131	97.5723
109.129	97.5707
109.143	97.5683
109.135	97.5626
109.139	97.5596
109.143	97.5588
109.139	97.5631
109.137	97.5618
109.146	97.5586
109.142	97.5544
109.133	97.5497
109.131	97.5460
109.132	97.5443
109.120	97.5408
109.113	97.5368
109.110	97.5348
109.109	97.5344
109.113	97.5310
109.115	97.5295
109.111	97.5306
109.120	97.5309
109.124	97.5269
109.120	97.5222
109.129	97.5187
109.123	97.5189
109.120	97.5211
109.121	97.5198
109.122	97.5157
109.121	97.5123
109.120	97.5093
109.122	97.5129
109.113	97.5130
109.117	97.5111
109.112	97.5093
109.117	97.5068
109.116	97.5047
109.109	97.5001
109.097	97.4976
109.097	97.4982
109.091	97.4944
109.085	97.4937
109.087	97.4906
109.088	97.4856
109.096	97.4809
109.102	97.4783
109.109	97.4774
109.114	97.4718
109.122	97.4703
109.132	97.4695
109.140	97.4665
109.151	97.4673
109.162	97.4652
109.168	97.4604
109.174	97.4590
109.181	97.4549
109.188	97.4517
109.199	97.4510
109.208	97.4544
109.211	97.4530
109.216	97.4506
109.218	97.4516
109.215	97.4487
109.204	97.4460
109.189	97.4412
109.174	97.4360
109.166	97.4361
109.156	97.4330
109.151	97.4331
109.150	97.4320
109.151	97.4306
109.156	97.4322
109.159	97.4334
