Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8-10-16.tg1d

Time (min)	Weight (mg)
5.783	63.9079
5.800	63.9160
5.817	63.9296
5.833	63.9406
5.850	63.9467
5.867	63.9565
5.883	63.9667
5.900	63.9742
5.917	63.9813
5.933	63.9899
5.950	63.9954
5.967	63.9971
5.983	63.9947
6.000	63.9896
6.017	63.9985
6.033	64.0170
6.050	64.0381
6.067	64.0494
6.083	64.0540
6.100	64.0533
6.117	64.0513
6.133	64.0565
6.150	64.0680
6.167	64.0783
6.183	64.0841
6.200	64.0945
6.217	64.1040
6.233	64.1103
6.250	64.1143
6.267	64.1174
6.283	64.1221
6.300	64.1266
6.317	64.1315
6.333	64.1384
6.350	64.1444
6.367	64.1492
6.383	64.1525
6.400	64.1613
6.417	64.1741
6.433	64.1937
6.450	64.2055
6.467	64.2164
6.483	64.2182
6.500	64.2166
6.517	64.2148
6.533	64.2159
6.550	64.2207
6.567	64.2267
6.583	64.2344
6.600	64.2446
6.617	64.2682
6.633	64.2916
6.650	64.3028
6.667	64.3058
6.683	64.3063
6.700	64.3089
6.717	64.3077
6.733	64.3056
6.750	64.3060
6.767	64.3160
6.783	64.3548
6.800	64.4028
6.817	64.4436
6.833	64.4704
6.850	64.4722
6.867	64.4682
6.883	64.4680
6.900	64.4708
6.917	64.4745
6.933	64.4796
6.950	64.4858
6.967	64.4909
6.983	64.4944
7.000	64.4969
7.017	64.4986
7.033	64.5002
7.050	64.5030
7.067	64.5072
7.083	64.5144
7.100	64.5231
7.117	64.5311
7.133	64.5372
7.150	64.5426
7.167	64.5477
7.183	64.5545
7.200	64.5668
7.217	64.5770
7.233	64.5837
7.250	64.5898
7.267	64.5957
7.283	64.6020
7.300	64.6079
7.317	64.6130
7.333	64.6181
7.350	64.6235
7.367	64.6285
7.383	64.6339
7.400	64.6399
7.417	64.6468
7.433	64.6504
7.450	64.6532
7.467	64.6586
7.483	64.6666
7.500	64.6745
7.517	64.6863
7.533	64.7023
7.550	64.7111
7.567	64.7172
7.583	64.7400
7.600	64.7627
7.617	64.7802
7.633	64.7918
7.650	64.8011
7.667	64.8112
7.683	64.8228
7.700	64.8340
7.717	64.8427
7.733	64.8488
7.750	64.8568
7.767	64.8650
7.783	64.8686
7.800	64.8766
7.817	64.8846
7.833	64.8939
7.850	64.8993
7.867	64.8951
7.883	64.8923
7.900	64.8963
7.917	64.9035
7.933	64.9100
7.950	64.9146
7.967	64.9202
7.983	64.9297
8.000	64.9373
8.017	64.9422
8.033	64.9463
8.050	64.9517
8.067	64.9597
8.083	64.9699
8.100	64.9785
8.117	64.9845
8.133	64.9947
8.150	65.0065
8.167	65.0175
8.183	65.0309
8.200	65.0397
8.217	65.0426
8.233	65.0484
8.250	65.0545
8.267	65.0590
8.283	65.0651
8.300	65.0712
8.317	65.0828
8.333	65.0925
8.350	65.0994
8.367	65.1061
8.383	65.1134
