Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8_8_16.tg1d

Time (min)	Weight % (%)
5.783	100.8830
5.800	100.8882
5.817	100.8936
5.833	100.8986
5.850	100.9040
5.867	100.9093
5.883	100.9144
5.900	100.9193
5.917	100.9241
5.933	100.9288
5.950	100.9333
5.967	100.9380
5.983	100.9427
6.000	100.9472
6.017	100.9518
6.033	100.9559
6.050	100.9601
6.067	100.9641
6.083	100.9682
6.100	100.9720
6.117	100.9761
6.133	100.9803
6.150	100.9841
6.167	100.9879
6.183	100.9921
6.200	100.9963
6.217	101.0001
6.233	101.0033
6.250	101.0061
6.267	101.0093
6.283	101.0124
6.300	101.0157
6.317	101.0190
6.333	101.0220
6.350	101.0250
6.367	101.0284
6.383	101.0318
6.400	101.0351
6.417	101.0381
6.433	101.0413
6.450	101.0443
6.467	101.0473
6.483	101.0501
6.500	101.0530
6.517	101.0563
6.533	101.0597
6.550	101.0624
6.567	101.0646
6.583	101.0668
6.600	101.0688
6.617	101.0701
6.633	101.0717
6.650	101.0737
6.667	101.0760
6.683	101.0782
6.700	101.0805
6.717	101.0826
6.733	101.0845
6.750	101.0865
6.767	101.0884
6.783	101.0903
6.800	101.0922
6.817	101.0943
6.833	101.0960
6.850	101.0973
6.867	101.0987
6.883	101.0999
6.900	101.1011
6.917	101.1021
6.933	101.1031
6.950	101.1042
6.967	101.1054
6.983	101.1064
7.000	101.1071
7.017	101.1078
7.033	101.1084
7.050	101.1096
7.067	101.1109
7.083	101.1118
7.100	101.1125
7.117	101.1131
7.133	101.1139
7.150	101.1144
7.167	101.1150
7.183	101.1155
7.200	101.1161
7.217	101.1165
7.233	101.1165
7.250	101.1166
7.267	101.1164
7.283	101.1165
7.300	101.1168
7.317	101.1172
7.333	101.1176
7.350	101.1179
7.367	101.1181
7.383	101.1182
7.400	101.1180
7.417	101.1178
7.433	101.1177
7.450	101.1174
7.467	101.1172
7.483	101.1169
7.500	101.1167
7.517	101.1165
7.533	101.1160
7.550	101.1154
7.567	101.1150
7.583	101.1143
7.600	101.1137
7.617	101.1137
7.633	101.1135
7.650	101.1126
7.667	101.1114
7.683	101.1097
7.700	101.1084
7.717	101.1068
7.733	101.1054
7.750	101.1039
7.767	101.1029
7.783	101.1019
7.800	101.1009
7.817	101.1001
7.833	101.0990
7.850	101.0979
7.867	101.0969
7.883	101.0957
7.900	101.0946
7.917	101.0933
7.933	101.0918
7.950	101.0904
7.967	101.0889
7.983	101.0873
8.000	101.0860
8.017	101.0844
8.033	101.0824
8.050	101.0810
8.067	101.0795
8.083	101.0779
8.100	101.0765
8.117	101.0746
8.133	101.0726
8.150	101.0708
8.167	101.0688
8.183	101.0670
8.200	101.0652
8.217	101.0635
8.233	101.0617
8.250	101.0596
8.267	101.0576
8.283	101.0554
8.300	101.0533
8.317	101.0512
8.333	101.0492
8.350	101.0472
8.367	101.0452
8.383	101.0430
8.400	101.0406
8.417	101.0387
8.433	101.0368
8.450	101.0347
8.467	101.0321
8.483	101.0291
8.500	101.0261
8.517	101.0234
8.533	101.0207
8.550	101.0180
8.567	101.0159
8.583	101.0134
8.600	101.0114
8.617	101.0094
8.633	101.0067
8.650	101.0043
8.667	101.0019
8.683	100.9992
8.700	100.9963
8.717	100.9933
8.733	100.9905
8.750	100.9879
8.767	100.9850
8.783	100.9820
8.800	100.9793
8.817	100.9769
8.833	100.9738
8.850	100.9704
8.867	100.9672
8.883	100.9645
8.900	100.9618
8.917	100.9593
8.933	100.9569
8.950	100.9545
8.967	100.9518
8.983	100.9492
9.000	100.9462
9.017	100.9432
9.033	100.9409
9.050	100.9389
9.067	100.9368
9.083	100.9342
9.100	100.9311
9.117	100.9277
9.133	100.9242
9.150	100.9208
9.167	100.9174
9.183	100.9149
9.200	100.9124
9.217	100.9098
9.233	100.9072
9.250	100.9043
9.267	100.9013
9.283	100.8984
9.300	100.8952
9.317	100.8922
9.333	100.8894
9.350	100.8866
9.367	100.8842
9.383	100.8816
9.400	100.8789
9.417	100.8765
9.433	100.8742
9.450	100.8715
9.467	100.8688
9.483	100.8662
9.500	100.8637
9.517	100.8613
9.533	100.8584
9.550	100.8554
9.567	100.8527
9.583	100.8496
9.600	100.8467
9.617	100.8436
9.633	100.8405
9.650	100.8376
9.667	100.8350
9.683	100.8327
9.700	100.8303
9.717	100.8275
9.733	100.8250
9.750	100.8223
9.767	100.8194
9.783	100.8162
9.800	100.8129
9.817	100.8100
9.833	100.8069
9.850	100.8039
9.867	100.8012
9.883	100.7982
9.900	100.7958
9.917	100.7930
9.933	100.7903
9.950	100.7875
9.967	100.7847
9.983	100.7822
10.000	100.7794
10.017	100.7766
10.033	100.7738
10.050	100.7708
10.067	100.7677
10.083	100.7644
10.100	100.7613
10.117	100.7585
10.133	100.7559
10.150	100.7531
10.167	100.7504
10.183	100.7479
10.200	100.7453
10.217	100.7427
10.233	100.7398
10.250	100.7368
10.267	100.7344
10.283	100.7319
10.300	100.7296
10.317	100.7275
10.333	100.7257
10.350	100.7241
10.367	100.7220
10.383	100.7197
10.400	100.7176
10.417	100.7155
10.433	100.7137
10.450	100.7116
10.467	100.7096
10.483	100.7073
10.500	100.7050
10.517	100.7030
10.533	100.7009
10.550	100.6988
10.567	100.6968
10.583	100.6948
10.600	100.6930
10.617	100.6913
10.633	100.6898
10.650	100.6882
10.667	100.6863
10.683	100.6848
10.700	100.6833
10.717	100.6817
10.733	100.6799
10.750	100.6781
10.767	100.6766
10.783	100.6752
10.800	100.6738
10.817	100.6718
10.833	100.6698
10.850	100.6681
10.867	100.6664
10.883	100.6647
10.900	100.6630
10.917	100.6610
10.933	100.6587
10.950	100.6566
10.967	100.6547
10.983	100.6527
11.000	100.6508
11.017	100.6487
11.033	100.6468
11.050	100.6450
11.067	100.6428
11.083	100.6409
11.100	100.6390
11.117	100.6372
11.133	100.6351
11.150	100.6329
11.167	100.6306
11.183	100.6281
11.200	100.6254
11.217	100.6227
11.233	100.6205
11.250	100.6184
11.267	100.6162
11.283	100.6140
11.300	100.6118
11.317	100.6092
11.333	100.6068
11.350	100.6042
11.367	100.6017
11.383	100.5993
11.400	100.5971
11.417	100.5947
11.433	100.5925
11.450	100.5903
11.467	100.5877
11.483	100.5845
11.500	100.5811
11.517	100.5777
11.533	100.5743
11.550	100.5709
11.567	100.5680
11.583	100.5651
11.600	100.5621
11.617	100.5590
11.633	100.5560
11.650	100.5529
11.667	100.5501
11.683	100.5470
11.700	100.5437
11.717	100.5401
11.733	100.5369
11.750	100.5338
11.767	100.5308
11.783	100.5273
11.800	100.5237
11.817	100.5204
11.833	100.5170
11.850	100.5134
11.867	100.5100
11.883	100.5065
11.900	100.5027
11.917	100.4988
11.933	100.4950
11.950	100.4910
11.967	100.4872
11.983	100.4835
12.000	100.4798
12.017	100.4757
12.033	100.4717
12.050	100.4679
12.067	100.4641
12.083	100.4603
12.100	100.4567
12.117	100.4528
12.133	100.4490
12.150	100.4450
12.167	100.4410
12.183	100.4368
12.200	100.4325
12.217	100.4285
12.233	100.4247
12.250	100.4204
12.267	100.4159
12.283	100.4112
12.300	100.4071
12.317	100.4028
12.333	100.3985
12.350	100.3943
12.367	100.3895
12.383	100.3850
12.400	100.3806
12.417	100.3766
12.433	100.3723
12.450	100.3682
12.467	100.3641
12.483	100.3597
12.500	100.3554
12.517	100.3509
12.533	100.3465
12.550	100.3420
12.567	100.3375
12.583	100.3331
12.600	100.3290
12.617	100.3247
12.633	100.3204
12.650	100.3161
12.667	100.3117
12.683	100.3072
12.700	100.3030
12.717	100.2989
12.733	100.2946
12.750	100.2905
12.767	100.2861
12.783	100.2819
12.800	100.2774
12.817	100.2733
12.833	100.2691
12.850	100.2652
12.867	100.2612
12.883	100.2570
12.900	100.2527
12.917	100.2486
12.933	100.2443
12.950	100.2404
12.967	100.2368
12.983	100.2327
13.000	100.2283
13.017	100.2243
13.033	100.2206
13.050	100.2167
13.067	100.2131
13.083	100.2093
13.100	100.2055
13.117	100.2016
13.133	100.1977
13.150	100.1933
13.167	100.1890
13.183	100.1853
13.200	100.1816
13.217	100.1781
13.233	100.1744
13.250	100.1709
13.267	100.1673
13.283	100.1636
13.300	100.1598
13.317	100.1563
13.333	100.1532
13.350	100.1499
13.367	100.1464
13.383	100.1428
13.400	100.1392
13.417	100.1356
13.433	100.1321
13.450	100.1285
13.467	100.1252
13.483	100.1218
13.500	100.1183
13.517	100.1149
13.533	100.1113
13.550	100.1079
13.567	100.1041
13.583	100.1003
13.600	100.0969
13.617	100.0933
13.633	100.0901
13.650	100.0867
13.667	100.0833
13.683	100.0799
13.700	100.0766
13.717	100.0734
13.733	100.0701
13.750	100.0665
13.767	100.0630
13.783	100.0596
13.800	100.0561
13.817	100.0531
13.833	100.0497
13.850	100.0465
13.867	100.0430
13.883	100.0392
13.900	100.0356
13.917	100.0322
13.933	100.0287
13.950	100.0254
13.967	100.0221
13.983	100.0188
14.000	100.0155
14.017	100.0119
14.033	100.0081
14.050	100.0046
14.067	100.0010
14.083	99.9976
14.100	99.9943
14.117	99.9910
