Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
84.005	74.8828
84.175	74.8806
84.342	74.8784
84.507	74.8762
84.674	74.8737
84.841	74.8713
85.011	74.8691
85.183	74.8670
85.357	74.8648
85.532	74.8626
85.706	74.8604
85.884	74.8581
86.063	74.8557
86.246	74.8532
86.433	74.8508
86.615	74.8485
86.786	74.8462
86.961	74.8438
87.137	74.8413
87.316	74.8389
87.501	74.8366
87.684	74.8342
87.862	74.8319
88.047	74.8296
88.219	74.8273
88.396	74.8250
88.571	74.8227
88.750	74.8203
88.933	74.8180
89.109	74.8155
89.272	74.8130
89.453	74.8105
89.636	74.8080
89.816	74.8054
89.991	74.8030
90.161	74.8006
90.344	74.7981
90.509	74.7957
90.672	74.7932
90.838	74.7908
91.003	74.7883
91.177	74.7858
91.364	74.7832
91.531	74.7806
91.710	74.7782
91.895	74.7757
92.066	74.7733
92.249	74.7707
92.430	74.7683
92.608	74.7657
92.787	74.7634
92.966	74.7610
93.145	74.7583
93.323	74.7556
93.502	74.7529
93.678	74.7503
93.856	74.7478
94.030	74.7453
94.205	74.7427
94.380	74.7401
94.557	74.7375
94.734	74.7348
94.907	74.7322
95.075	74.7294
95.243	74.7266
95.413	74.7237
95.582	74.7210
95.762	74.7183
95.944	74.7156
96.122	74.7130
96.299	74.7104
96.476	74.7077
96.653	74.7050
96.828	74.7024
97.005	74.6996
97.184	74.6968
97.362	74.6939
97.539	74.6910
97.714	74.6883
97.890	74.6856
98.063	74.6830
98.229	74.6804
98.394	74.6775
98.562	74.6747
98.733	74.6720
98.902	74.6692
99.071	74.6663
99.239	74.6636
99.410	74.6608
99.582	74.6580
99.751	74.6550
99.922	74.6520
100.101	74.6492
100.288	74.6464
100.475	74.6435
100.661	74.6406
100.841	74.6377
101.018	74.6348
101.196	74.6320
101.372	74.6291
101.544	74.6264
101.711	74.6235
101.879	74.6206
102.049	74.6176
102.223	74.6148
102.396	74.6118
102.572	74.6087
102.747	74.6058
102.925	74.6028
103.099	74.5999
103.277	74.5971
103.456	74.5941
103.632	74.5912
103.808	74.5883
103.978	74.5853
104.152	74.5823
104.325	74.5793
104.497	74.5763
104.681	74.5734
104.866	74.5704
105.048	74.5673
105.224	74.5642
105.390	74.5611
105.577	74.5580
105.760	74.5551
105.940	74.5520
106.117	74.5489
106.293	74.5459
106.470	74.5429
106.648	74.5400
106.822	74.5370
106.995	74.5339
107.172	74.5308
107.362	74.5276
107.546	74.5244
107.728	74.5212
107.911	74.5180
108.093	74.5147
108.268	74.5114
108.443	74.5081
108.615	74.5049
108.785	74.5018
108.958	74.4988
109.135	74.4958
109.319	74.4928
109.498	74.4896
109.669	74.4865
109.835	74.4833
110.005	74.4801
110.180	74.4768
110.351	74.4735
110.531	74.4702
110.719	74.4670
110.904	74.4638
111.083	74.4605
111.260	74.4573
111.436	74.4540
111.606	74.4506
111.771	74.4472
111.945	74.4439
112.119	74.4407
112.283	74.4375
112.447	74.4343
112.610	74.4311
112.770	74.4279
