Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1_8_31_16.tg1d

Time (min)	Weight % (%)
0.000	99.9765
1.667e-002	99.9766
3.333e-002	99.9770
5.000e-002	99.9770
6.667e-002	99.9772
8.333e-002	99.9769
1.000e-001	99.9763
0.117	99.9757
0.133	99.9747
0.150	99.9734
0.167	99.9718
0.183	99.9701
0.200	99.9683
0.217	99.9665
0.233	99.9645
0.250	99.9625
0.267	99.9603
0.283	99.9581
0.300	99.9557
0.317	99.9532
0.333	99.9506
0.350	99.9483
0.367	99.9459
0.383	99.9434
0.400	99.9408
0.417	99.9380
0.433	99.9354
0.450	99.9327
0.467	99.9299
0.483	99.9272
0.500	99.9245
0.517	99.9218
0.533	99.9190
0.550	99.9161
0.567	99.9131
0.583	99.9101
0.600	99.9074
0.617	99.9045
0.633	99.9018
0.650	99.8990
0.667	99.8962
0.683	99.8933
0.700	99.8904
0.717	99.8875
0.733	99.8846
0.750	99.8817
0.767	99.8788
0.783	99.8758
0.800	99.8730
0.817	99.8701
0.833	99.8674
0.850	99.8645
0.867	99.8616
0.883	99.8588
0.900	99.8563
0.917	99.8535
0.933	99.8508
0.950	99.8481
0.967	99.8452
0.983	99.8423
1.000	99.8393
1.017	99.8364
1.033	99.8337
1.050	99.8311
1.067	99.8290
1.083	99.8272
1.100	99.8267
1.117	99.8313
1.133	99.8378
1.150	99.8426
1.167	99.8443
1.183	99.8432
1.200	99.8394
1.217	99.8333
1.233	99.8251
1.250	99.8152
1.267	99.8035
1.283	99.7903
1.300	99.7756
1.317	99.7596
1.333	99.7421
1.350	99.7238
1.367	99.7048
1.383	99.6849
1.400	99.6643
1.417	99.6433
1.433	99.6219
1.450	99.6002
1.467	99.5781
1.483	99.5559
1.500	99.5335
1.517	99.5108
1.533	99.4881
1.550	99.4654
1.567	99.4425
1.583	99.4197
1.600	99.3967
1.617	99.3737
1.633	99.3506
1.650	99.3273
1.667	99.3038
1.683	99.2798
1.700	99.2554
1.717	99.2303
1.733	99.2045
1.750	99.1781
1.767	99.1514
1.783	99.1244
1.800	99.0971
1.817	99.0694
1.833	99.0417
1.850	99.0140
1.867	98.9863
1.883	98.9585
1.900	98.9306
1.917	98.9027
1.933	98.8746
1.950	98.8463
1.967	98.8179
1.983	98.7893
2.000	98.7604
2.017	98.7314
2.033	98.7022
2.050	98.6723
2.067	98.6346
2.083	98.5868
2.100	98.5351
2.117	98.4850
2.133	98.4393
2.150	98.3982
2.167	98.3612
2.183	98.3272
2.200	98.2958
2.217	98.2662
2.233	98.2379
2.250	98.2105
2.267	98.1839
2.283	98.1577
2.300	98.1317
2.317	98.1060
2.333	98.0807
2.350	98.0552
2.367	98.0299
2.383	98.0048
2.400	97.9798
2.417	97.9549
2.433	97.9302
2.450	97.9056
2.467	97.8812
2.483	97.8568
2.500	97.8325
2.517	97.8084
2.533	97.7842
2.550	97.7600
2.567	97.7360
2.583	97.7119
2.600	97.6880
2.617	97.6640
2.633	97.6402
2.650	97.6167
2.667	97.5930
2.683	97.5695
2.700	97.5463
2.717	97.5232
2.733	97.5002
2.750	97.4772
2.767	97.4543
2.783	97.4313
2.800	97.4083
2.817	97.3855
2.833	97.3628
2.850	97.3400
2.867	97.3170
2.883	97.2941
2.900	97.2715
2.917	97.2489
2.933	97.2261
2.950	97.2034
2.967	97.1807
2.983	97.1583
3.000	97.1359
3.017	97.1136
3.033	97.0913
3.050	97.0691
3.067	97.0469
3.083	97.0251
3.100	97.0032
3.117	96.9815
3.133	96.9599
3.150	96.9383
3.167	96.9168
3.183	96.8952
3.200	96.8737
3.217	96.8523
3.233	96.8310
3.250	96.8096
3.267	96.7883
3.283	96.7670
3.300	96.7461
3.317	96.7248
3.333	96.7037
3.350	96.6831
3.367	96.6622
3.383	96.6411
3.400	96.6200
3.417	96.5992
3.433	96.5785
3.450	96.5578
3.467	96.5371
3.483	96.5165
3.500	96.4958
3.517	96.4752
3.533	96.4550
3.550	96.4350
3.567	96.4149
3.583	96.3949
3.600	96.3749
3.617	96.3552
3.633	96.3353
3.650	96.3155
3.667	96.2958
3.683	96.2761
3.700	96.2564
3.717	96.2367
3.733	96.2172
3.750	96.1977
3.767	96.1784
3.783	96.1591
3.800	96.1398
3.817	96.1205
3.833	96.1013
3.850	96.0821
3.867	96.0630
3.883	96.0440
3.900	96.0250
3.917	96.0062
3.933	95.9870
3.950	95.9680
3.967	95.9491
3.983	95.9303
4.000	95.9119
4.017	95.8936
4.033	95.8752
4.050	95.8567
4.067	95.8384
4.083	95.8202
4.100	95.8020
4.117	95.7838
4.133	95.7658
4.150	95.7478
4.167	95.7300
4.183	95.7121
4.200	95.6943
4.217	95.6764
4.233	95.6587
4.250	95.6410
4.267	95.6233
4.283	95.6056
4.300	95.5878
4.317	95.5701
4.333	95.5525
4.350	95.5348
4.367	95.5171
4.383	95.4992
4.400	95.4815
4.417	95.4639
4.433	95.4463
4.450	95.4288
4.467	95.4114
4.483	95.3941
4.500	95.3770
4.517	95.3603
4.533	95.3435
4.550	95.3265
4.567	95.3095
4.583	95.2926
4.600	95.2757
4.617	95.2588
4.633	95.2424
4.650	95.2261
4.667	95.2098
4.683	95.1933
4.700	95.1770
4.717	95.1608
4.733	95.1448
4.750	95.1288
4.767	95.1129
4.783	95.0970
4.800	95.0811
4.817	95.0651
4.833	95.0491
4.850	95.0332
4.867	95.0174
4.883	95.0014
4.900	94.9853
4.917	94.9692
4.933	94.9533
4.950	94.9374
4.967	94.9216
4.983	94.9059
5.000	94.8905
5.017	94.8750
5.033	94.8595
5.050	94.8441
5.067	94.8286
5.083	94.8134
5.100	94.7982
5.117	94.7831
5.133	94.7682
5.150	94.7530
5.167	94.7380
5.183	94.7232
5.200	94.7088
5.217	94.6943
5.233	94.6796
5.250	94.6649
5.267	94.6503
5.283	94.6357
5.300	94.6211
5.317	94.6067
5.333	94.5923
5.350	94.5779
5.367	94.5638
5.383	94.5494
5.400	94.5351
5.417	94.5210
5.433	94.5069
5.450	94.4928
5.467	94.4786
5.483	94.4647
5.500	94.4507
5.517	94.4368
5.533	94.4228
5.550	94.4088
5.567	94.3950
5.583	94.3815
5.600	94.3680
5.617	94.3545
5.633	94.3410
5.650	94.3275
5.667	94.3140
5.683	94.3005
5.700	94.2871
5.717	94.2739
5.733	94.2608
5.750	94.2477
5.767	94.2344
5.783	94.2211
5.800	94.2079
5.817	94.1948
5.833	94.1820
5.850	94.1691
5.867	94.1565
5.883	94.1437
5.900	94.1310
5.917	94.1183
5.933	94.1056
5.950	94.0930
5.967	94.0805
5.983	94.0680
6.000	94.0559
6.017	94.0437
6.033	94.0314
6.050	94.0190
6.067	94.0065
6.083	93.9941
6.100	93.9819
6.117	93.9699
6.133	93.9579
6.150	93.9459
6.167	93.9340
6.183	93.9220
6.200	93.9101
6.217	93.8983
6.233	93.8865
6.250	93.8748
6.267	93.8632
6.283	93.8515
6.300	93.8399
6.317	93.8281
6.333	93.8163
6.350	93.8049
6.367	93.7936
6.383	93.7824
6.400	93.7711
6.417	93.7597
6.433	93.7484
6.450	93.7371
6.467	93.7260
6.483	93.7149
6.500	93.7038
6.517	93.6929
6.533	93.6819
6.550	93.6710
6.567	93.6599
6.583	93.6491
6.600	93.6383
6.617	93.6279
6.633	93.6173
6.650	93.6065
6.667	93.5958
6.683	93.5852
6.700	93.5745
6.717	93.5639
6.733	93.5533
6.750	93.5427
6.767	93.5321
6.783	93.5220
6.800	93.5119
6.817	93.5018
6.833	93.4916
6.850	93.4814
6.867	93.4714
6.883	93.4612
6.900	93.4511
6.917	93.4411
6.933	93.4310
6.950	93.4208
6.967	93.4112
6.983	93.4016
7.000	93.3920
7.017	93.3824
7.033	93.3728
7.050	93.3633
7.067	93.3538
7.083	93.3444
7.100	93.3348
7.117	93.3253
7.133	93.3159
7.150	93.3066
7.167	93.2974
7.183	93.2881
7.200	93.2789
7.217	93.2700
7.233	93.2610
7.250	93.2523
7.267	93.2433
7.283	93.2345
