Temperature (K),kinematic viscosity (m^2/s),Therm. Cond. (W/m*K),Prandtl #,source:,http://webbook.nist.gov/chemistry/fluid/
446,0.000000175,0.67607,1.015036646,,
447,0.000000174,0.67571,1.010187632,,
448,0.000000174,0.67535,1.005411073,,
449,0.000000173,0.67497,1.000713676,,
450,0.000000172,0.67459,0.996153584,,
451,0.000000171,0.67419,0.99162995,,
452,0.00000017,0.67379,0.98719848,,
453,0.000000169,0.67338,0.982876218,,
454,0.000000169,0.67297,0.978603617,,
455,0.000000168,0.67254,0.974409921,,
456,0.000000167,0.67211,0.970222471,,
457,0.000000166,0.67166,0.966179436,,
458,0.000000166,0.67121,0.962208263,,
459,0.000000165,0.67075,0.958323195,,
460,0.000000164,0.67028,0.954502527,,
461,0.000000163,0.66981,0.950753647,,
462,0.000000163,0.66932,0.947017149,,
463,0.000000162,0.66883,0.943418701,,
464,0.000000161,0.66832,0.939853578,,
465,0.000000161,0.66781,0.936405573,,
466,0.00000016,0.66729,0.93297658,,
467,0.000000159,0.66676,0.929612294,,
468,0.000000159,0.66623,0.926319748,,
469,0.000000158,0.66568,0.923126728,,
470,0.000000157,0.66512,0.919931354,,
471,0.000000157,0.66456,0.91680761,,
472,0.000000156,0.66399,0.913816603,,
473,0.000000155,0.6634,0.910809982,,
474,0.000000155,0.66281,0.907922506,,
475,0.000000154,0.66221,0.905032558,,
476,0.000000154,0.6616,0.902248182,,
477,0.000000153,0.66098,0.899529328,,
478,0.000000152,0.66035,0.896896137,,
479,0.000000152,0.65971,0.894260301,,
480,0.000000151,0.65907,0.891647503,,
481,0.000000151,0.65841,0.8891829,,
482,0.00000015,0.65774,0.886735078,,
483,0.00000015,0.65707,0.88434004,,
484,0.000000149,0.65638,0.88199439,,
485,0.000000149,0.65569,0.879701672,,
486,0.000000148,0.65498,0.877508327,,
487,0.000000148,0.65427,0.875317795,,
488,0.000000147,0.65354,0.873226615,,
489,0.000000147,0.65281,0.871118984,,
490,0.000000146,0.65206,0.869129787,,
491,0.000000146,0.65131,0.867194663,,
492,0.000000145,0.65054,0.865307454,,
493,0.000000145,0.64977,0.863403604,,
494,0.000000144,0.64898,0.861599445,,
495,0.000000144,0.64819,0.859887271,,
496,0.000000143,0.64738,0.858185103,,
497,0.000000143,0.64656,0.856569816,,
498,0.000000142,0.64574,0.854956503,,
499,0.000000142,0.6449,0.853443573,,
500,0.000000142,0.64405,0.851963993,,
501,0.000000141,0.64319,0.850553522,,
502,0.000000141,0.64232,0.849158033,,
503,0.00000014,0.64144,0.84779536,,
504,0.00000014,0.64055,0.846520323,,
505,0.000000139,0.63964,0.845255075,,
506,0.000000139,0.63873,0.844082692,,
507,0.000000139,0.6378,0.8430299,,
508,0.000000138,0.63686,0.841899738,,
509,0.000000138,0.63591,0.84087586,,
510,0.000000137,0.63495,0.839940909,,
511,0.000000137,0.63398,0.839020449,,
512,0.000000137,0.633,0.838131867,,
513,0.000000136,0.632,0.837252943,,
514,0.000000136,0.63099,0.836498631,,
515,0.000000136,0.62997,0.835816872,,
516,0.000000135,0.62894,0.835184355,,
517,0.000000135,0.62789,0.83456182,,
518,0.000000135,0.62684,0.833957271,,
519,0.000000134,0.62577,0.83347412,,
520,0.000000134,0.62468,0.833018305,,
521,0.000000134,0.62359,0.832580173,,
522,0.000000133,0.62248,0.832247012,,
523,0.000000133,0.62136,0.831944976,,
524,0.000000133,0.62023,0.83175244,,
525,0.000000132,0.61908,0.831525533,,
526,0.000000132,0.61792,0.831391284,,
527,0.000000132,0.61675,0.831287801,,
528,0.000000131,0.61556,0.831308306,,
529,0.000000131,0.61436,0.831359784,,
530,0.000000131,0.61315,0.831441988,,
531,0.00000013,0.61192,0.831568262,,
532,0.00000013,0.61068,0.831806239,,
533,0.00000013,0.60943,0.832075013,,
534,0.00000013,0.60816,0.832404709,,
535,0.000000129,0.60688,0.832748135,,
536,0.000000129,0.60558,0.833235049,,
537,0.000000129,0.60427,0.833669426,,
538,0.000000128,0.60295,0.834267354,,
539,0.000000128,0.60161,0.834901416,,
540,0.000000128,0.60026,0.835582887,,
541,0.000000128,0.5989,0.836319772,,
542,0.000000127,0.59752,0.837143033,,
543,0.000000127,0.59612,0.838044364,,
544,0.000000127,0.59471,0.838993494,,
545,0.000000127,0.59329,0.84000686,,
546,0.000000126,0.59185,0.841089996,,
547,0.000000126,0.5904,0.842262529,,
548,0.000000126,0.58893,0.843488828,,
549,0.000000126,0.58745,0.844787107,,
550,0.000000125,0.58595,0.846173381,,
551,0.000000125,0.58444,0.84761565,,
552,0.000000125,0.58292,0.849130021,,
553,0.000000125,0.58138,0.850740141,,
554,0.000000124,0.57983,0.852406396,,
555,0.000000124,0.57826,0.854184878,,
556,0.000000124,0.57668,0.85601972,,
557,0.000000124,0.57508,0.857941892,,
558,0.000000124,0.57347,0.859961986,,
559,0.000000123,0.57185,0.862054733,,
560,0.000000123,0.57021,0.86424174,,
561,0.000000123,0.56856,0.866511041,,
562,0.000000123,0.56689,0.868900362,,
563,0.000000123,0.56521,0.87136276,,
564,0.000000122,0.56352,0.873914184,,
565,0.000000122,0.56181,0.876576265,,
566,0.000000122,0.56009,0.879343312,,
567,0.000000122,0.55836,0.882199557,,
568,0.000000122,0.55661,0.885176784,,
569,0.000000121,0.55485,0.888275128,,
570,0.000000121,0.55308,0.89145841,,
571,0.000000121,0.5513,0.894772937,,
572,0.000000121,0.5495,0.898214568,,
573,0.000000121,0.5477,0.901734877,,
574,0.00000012,0.54588,0.90542419,,
575,0.00000012,0.54405,0.909224213,,
576,0.00000012,0.54221,0.913166125,,
577,0.00000012,0.54036,0.917234099,,
578,0.00000012,0.53849,0.921471686,,
579,0.00000012,0.53662,0.925822815,,
580,0.000000119,0.53474,0.930315167,,
581,0.000000119,0.53285,0.934991009,,
582,0.000000119,0.53094,0.939829842,,
583,0.000000119,0.52903,0.94482297,,
584,0.000000119,0.52711,0.949991681,,
585,0.000000119,0.52519,0.955325155,,
586,0.000000119,0.52325,0.960882614,,
587,0.000000118,0.52131,0.96659589,,
588,0.000000118,0.51935,0.972544378,,
589,0.000000118,0.5174,0.97867487,,
590,0.000000118,0.51543,0.985042857,,
591,0.000000118,0.51346,0.991637559,,
592,0.000000118,0.51148,0.998467665,,
593,0.000000118,0.5095,1.005553231,,
594,0.000000117,0.50751,1.012887228,,
595,0.000000117,0.50551,1.020540697,,
596,0.000000117,0.50351,1.028450748,,
597,0.000000117,0.50151,1.03667467,,
598,0.000000117,0.4995,1.045217838,,
599,0.000000117,0.49748,1.054124457,,
600,0.000000117,0.49546,1.063385185,,
